,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Net Income From Continuing Operations
2025-09-30,21577000000.0,-18316000000.0,0.0,3924000000.0,-1482000000.0,587000000.0,4541000000.0,24987000000.0,19763000000.0,420000000.0,4804000000.0,-18963000000.0,-18963000000.0,-333000000.0,396000000.0,-4634000000.0,,-18316000000.0,-18316000000.0,3924000000.0,3924000000.0,0.0,3924000000.0,708000000.0,708000000.0,121000000.0,2956000000.0,3024000000.0,-68000000.0,-887000000.0,-887000000.0,-1482000000.0,-1482000000.0,23059000000.0,23059000000.0,-15172000000.0,-15314000000.0,160000000.0,150000000.0,930000000.0,-780000000.0,67000000.0,-168000000.0,-542000000.0,15817000000.0,897000000.0,152000000.0,152000000.0,1220000000.0,1220000000.0,,,,87000000.0,87000000.0,20058000000.0
2024-09-30,18693000000.0,-16713000000.0,0.0,0.0,-1257000000.0,583000000.0,5775000000.0,19763000000.0,21990000000.0,382000000.0,-2609000000.0,-20633000000.0,-20633000000.0,-38000000.0,335000000.0,-4217000000.0,,-16713000000.0,-16713000000.0,0.0,0.0,0.0,0.0,-1926000000.0,-1926000000.0,-93000000.0,339000000.0,5013000000.0,-4674000000.0,-915000000.0,-915000000.0,-1257000000.0,-1257000000.0,19950000000.0,19950000000.0,-15432000000.0,-14067000000.0,-199000000.0,1246000000.0,-704000000.0,1950000000.0,109000000.0,-2412000000.0,-237000000.0,13761000000.0,850000000.0,-100000000.0,-100000000.0,1034000000.0,1034000000.0,79000000.0,79000000.0,955000000.0,94000000.0,94000000.0,19743000000.0
2023-09-30,19696000000.0,-12101000000.0,-2250000000.0,0.0,-1059000000.0,617000000.0,3433000000.0,21990000000.0,20377000000.0,636000000.0,977000000.0,-17772000000.0,-17772000000.0,70000000.0,260000000.0,-3751000000.0,-3751000000.0,-12101000000.0,-12101000000.0,-2250000000.0,-2250000000.0,-2250000000.0,0.0,-2006000000.0,-2006000000.0,-25000000.0,-922000000.0,3562000000.0,-4484000000.0,0.0,0.0,-1059000000.0,-1059000000.0,20755000000.0,20755000000.0,-10022000000.0,-11014000000.0,-24000000.0,1426000000.0,1586000000.0,-160000000.0,34000000.0,-410000000.0,-250000000.0,12175000000.0,765000000.0,-483000000.0,-483000000.0,943000000.0,943000000.0,76000000.0,76000000.0,867000000.0,104000000.0,104000000.0,17273000000.0
2022-09-30,17879000000.0,-11589000000.0,-1000000000.0,3218000000.0,-970000000.0,607000000.0,3741000000.0,20377000000.0,19799000000.0,-1287000000.0,1865000000.0,-12696000000.0,-12696000000.0,-318000000.0,196000000.0,-3203000000.0,-3203000000.0,-11589000000.0,-11589000000.0,2218000000.0,2218000000.0,-1000000000.0,3218000000.0,-4288000000.0,-4288000000.0,128000000.0,-1498000000.0,4585000000.0,-6083000000.0,-1948000000.0,-1948000000.0,-970000000.0,-970000000.0,18849000000.0,18849000000.0,-7657000000.0,-9351000000.0,-666000000.0,2854000000.0,1531000000.0,1323000000.0,67000000.0,-494000000.0,-97000000.0,10158000000.0,602000000.0,-336000000.0,-336000000.0,861000000.0,861000000.0,90000000.0,90000000.0,771000000.0,264000000.0,264000000.0,14957000000.0
2021-09-30,,,,,,,,,,,,,,,,,-2798000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
