,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2024-12-31,1300000000.0,,-4467000000.0,1670000000.0,,-2683000000.0,1933000000.0,8000000.0,902000000.0,681000000.0,221000000.0,-2794000000.0,-2794000000.0,3000000.0,,,,,,,-2797000000.0,-2797000000.0,-4467000000.0,1670000000.0,-968000000.0,-968000000.0,242000000.0,819000000.0,8013000000.0,-7194000000.0,0.0,,0.0,654000000.0,654000000.0,,-2683000000.0,3983000000.0,3983000000.0,815000000.0,427000000.0,410000000.0,-314000000.0,257000000.0,257000000.0,257000000.0,35000000.0,35000000.0,-250000000.0,92000000.0,308000000.0,308000000.0,2245000000.0,2245000000.0,-73000000.0,-82000000.0,,846000000.0
2023-12-31,1207000000.0,,-7718000000.0,4822000000.0,0.0,-2596000000.0,2180000000.0,6000000.0,681000000.0,586000000.0,95000000.0,-3206000000.0,-3206000000.0,-310000000.0,,,,0.0,,0.0,-2896000000.0,-2896000000.0,-7718000000.0,4822000000.0,-502000000.0,-502000000.0,326000000.0,1538000000.0,8861000000.0,-7323000000.0,0.0,,0.0,230000000.0,230000000.0,,-2596000000.0,3803000000.0,3803000000.0,236000000.0,109000000.0,-166000000.0,-11000000.0,209000000.0,209000000.0,209000000.0,95000000.0,95000000.0,-164000000.0,102000000.0,299000000.0,299000000.0,2254000000.0,2254000000.0,254000000.0,-13000000.0,,822000000.0
2022-12-31,-373000000.0,-21000000.0,-3752000000.0,1069000000.0,0.0,-2546000000.0,1852000000.0,2000000.0,586000000.0,408000000.0,178000000.0,-2631000000.0,-2631000000.0,52000000.0,,0.0,0.0,-21000000.0,-21000000.0,0.0,-2683000000.0,-2683000000.0,-3752000000.0,1069000000.0,636000000.0,636000000.0,-359000000.0,3715000000.0,14972000000.0,-11257000000.0,-321000000.0,,-321000000.0,147000000.0,147000000.0,-360000000.0,-2546000000.0,2173000000.0,2173000000.0,-182000000.0,5000000.0,865000000.0,-775000000.0,360000000.0,360000000.0,360000000.0,-637000000.0,-637000000.0,189000000.0,78000000.0,65000000.0,65000000.0,2298000000.0,2298000000.0,-402000000.0,-405000000.0,0.0,127000000.0
2021-12-31,496000000.0,-18000000.0,-7343000000.0,12190000000.0,460000000.0,-208000000.0,,,408000000.0,399000000.0,9000000.0,5288000000.0,5288000000.0,-19000000.0,,0.0,0.0,460000000.0,-18000000.0,460000000.0,4847000000.0,4847000000.0,-7343000000.0,12190000000.0,-5983000000.0,-5983000000.0,-590000000.0,-5531000000.0,13923000000.0,-19454000000.0,-28000000.0,5000000.0,-28000000.0,374000000.0,374000000.0,-204000000.0,-208000000.0,704000000.0,704000000.0,1041000000.0,-168000000.0,1454000000.0,-402000000.0,461000000.0,,,-304000000.0,,68000000.0,98000000.0,-555000000.0,-555000000.0,2335000000.0,2335000000.0,-290000000.0,-321000000.0,-22000000.0,-1993000000.0
2020-12-31,,-173000000.0,,,2970000000.0,,,,,,,,,,-173000000.0,-43000000.0,-43000000.0,2797000000.0,-173000000.0,2970000000.0,,,,,,,,,,,,41000000.0,,,,-173000000.0,,,,,,,,,,,,,,,,,,,,,-95000000.0,
