,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2025-03-31,11492943268.0,11492943268.0,719990700000.0,1327786400000.0,2051370300000.0,1327786400000.0,1331379600000.0,2051370300000.0,1337663900000.0,6284300000.0,1331379600000.0,83084400000.0,56955500000.0,509297100000.0,22985900000.0,22985900000.0,17237772400000.0,719990700000.0,91707600000.0,44305200000.0,47402400000.0,18575436300000.0,5248403100000.0,5182382100000.0,199321900000.0,66021000000.0,66021000000.0,3593200000.0,3593200000.0,127239800000.0,-89669100000.0,216908900000.0,103715400000.0,,113193500000.0,93726400000.0,249693400000.0,1507595800000.0,163503400000.0,32349500000.0,1507595800000.0
2024-03-31,11011015558.0,11011015558.0,725856200000.0,1101811200000.0,1829723500000.0,1101811200000.0,1103867300000.0,1829723500000.0,1109475000000.0,5607700000.0,1103867300000.0,83056300000.0,39715700000.0,460385300000.0,22022000000.0,22022000000.0,14876884600000.0,725856200000.0,76425800000.0,33612700000.0,42813100000.0,15986359600000.0,4464212700000.0,4405500900000.0,57685900000.0,58711800000.0,58711800000.0,2056100000.0,2056100000.0,121422300000.0,-109064800000.0,230487100000.0,108280700000.0,,122206400000.0,110618900000.0,176605500000.0,1314001900000.0,228502500000.0,35533500000.0,1314001900000.0
2023-03-31,11011015558.0,11011015558.0,701486200000.0,1026816100000.0,1730291200000.0,1026816100000.0,1028805000000.0,1730291200000.0,1033398800000.0,4593800000.0,1028805000000.0,84551200000.0,32800300000.0,460385300000.0,22022000000.0,22022000000.0,13903090600000.0,701486200000.0,71699900000.0,37188500000.0,34511400000.0,14936489400000.0,4169138400000.0,4122719200000.0,24254200000.0,46419200000.0,46419200000.0,1988900000.0,1988900000.0,118850700000.0,-101005300000.0,219856000000.0,98925600000.0,,120930400000.0,131719200000.0,126874900000.0,1573284800000.0,233332800000.0,37352200000.0,1573284800000.0
2022-03-31,11011015558.0,11011015558.0,593716800000.0,972859600000.0,1569535900000.0,972859600000.0,975819100000.0,1569535900000.0,980553800000.0,4734700000.0,975819100000.0,70486200000.0,25385400000.0,460385300000.0,22022000000.0,22022000000.0,12412457500000.0,593716800000.0,58643700000.0,30817100000.0,27826600000.0,13393011300000.0,3885858200000.0,3850160500000.0,69713500000.0,35697700000.0,35697700000.0,2959500000.0,2959500000.0,104002700000.0,-93486200000.0,197488900000.0,92429800000.0,,105059100000.0,120300500000.0,95389000000.0,1341938800000.0,294800000.0,35136800000.0,1341938800000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12830201000.0,,,,,,,
