,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,414300000.0,-2500000000.0,-664200000.0,11417100000.0,,-8403600000.0,3268400000.0,2818600000.0,-296700000.0,746500000.0,1230100000.0,1230100000.0,-490600000.0,-4680400000.0,-4680400000.0,-2500000000.0,-2500000000.0,,8901100000.0,-1851800000.0,10752900000.0,-664200000.0,11417100000.0,-9301500000.0,-9301500000.0,-298200000.0,-253300000.0,522500000.0,-775800000.0,-947700000.0,,-947700000.0,-2744500000.0,601300000.0,-3345800000.0,-5057800000.0,-5057800000.0,8817900000.0,8817900000.0,-5385000000.0,,2608800000.0,2608800000.0,2608800000.0,,,-3331200000.0,-2507400000.0,-2155200000.0,4057800000.0,645600000.0,-2683100000.0,-2683100000.0,1766600000.0,1766600000.0,-174000000.0,-223800000.0,,10590000000.0
2023-12-31,-3152000000.0,-750000000.0,0.0,3958500000.0,,-7392100000.0,2818600000.0,2067000000.0,168600000.0,583000000.0,3495600000.0,3495600000.0,-335000000.0,-4069300000.0,-4069300000.0,-750000000.0,-750000000.0,,8649900000.0,4691400000.0,3958500000.0,0.0,3958500000.0,-7152700000.0,-7152700000.0,-191900000.0,-128700000.0,700300000.0,-829000000.0,-1044300000.0,,-1044300000.0,-2340200000.0,1604300000.0,-3944500000.0,-3447600000.0,-3447600000.0,4240100000.0,4240100000.0,-3055000000.0,-3453400000.0,4274400000.0,4274400000.0,4274400000.0,,,-3453400000.0,-1425000000.0,-2451000000.0,4095300000.0,628500000.0,-2341000000.0,-2341000000.0,1527300000.0,1527300000.0,-1855400000.0,-1878900000.0,,5240400000.0
2022-12-31,4600400000.0,-1500000000.0,-1560000000.0,0.0,,-2985300000.0,2067000000.0,3818500000.0,-167600000.0,-1583900000.0,-5406700000.0,-5406700000.0,-308900000.0,-3535800000.0,-3535800000.0,-1500000000.0,-1500000000.0,,-62000000.0,1498000000.0,-1560000000.0,-1560000000.0,0.0,-3762900000.0,-3762900000.0,-302200000.0,-244000000.0,463600000.0,-707600000.0,-327200000.0,,-327200000.0,-1035200000.0,95800000.0,-1131000000.0,-1854300000.0,-1854300000.0,7585700000.0,7585700000.0,-800000.0,-793500000.0,1692000000.0,1692000000.0,1692000000.0,346600000.0,346600000.0,-793500000.0,-599700000.0,-299600000.0,1369800000.0,371100000.0,-2185200000.0,-2185200000.0,1522500000.0,1522500000.0,263500000.0,-156500000.0,,6244800000.0
2021-12-31,5387500000.0,-1250000000.0,-1905400000.0,2410800000.0,,-1978400000.0,3818500000.0,3657100000.0,-205700000.0,367100000.0,-4131300000.0,-4131300000.0,-295900000.0,-3086800000.0,-3086800000.0,-1250000000.0,-1250000000.0,,501400000.0,-4000000.0,505400000.0,-1905400000.0,2410800000.0,-2867500000.0,-2867500000.0,-191700000.0,-166000000.0,847400000.0,-1013400000.0,-747400000.0,0.0,-747400000.0,-452600000.0,216000000.0,-668600000.0,-1309800000.0,-1309800000.0,7365900000.0,7365900000.0,-1012600000.0,1515400000.0,-1013800000.0,-1013800000.0,-1013800000.0,-359700000.0,-359700000.0,,-235900000.0,-1278300000.0,1697500000.0,342800000.0,-802300000.0,-802300000.0,1547600000.0,1547600000.0,11200000.0,-216000000.0,0.0,5581700000.0
2020-12-31,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,-457100000.0,,,,322000000.0,322000000.0,,,,,,,,,,,,0.0,
