,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash From Discontinued Financing Activities,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash From Discontinued Investing Activities,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,11192000000.0,-937000000.0,-10082000000.0,5465000000.0,,-3863000000.0,11174000000.0,10314000000.0,-1082000000.0,1942000000.0,-9854000000.0,,-9855000000.0,-1628000000.0,-2672000000.0,-2672000000.0,-937000000.0,-937000000.0,,-4617000000.0,-4617000000.0,-10082000000.0,5465000000.0,-3259000000.0,,-3258000000.0,522000000.0,-46000000.0,,,-3735000000.0,128000000.0,-3863000000.0,15055000000.0,,15055000000.0,-3134000000.0,594000000.0,-3649000000.0,234000000.0,-23000000.0,-215000000.0,-215000000.0,-149000000.0,341000000.0,4710000000.0,644000000.0,,,,3152000000.0,3152000000.0,5544000000.0,5544000000.0,5544000000.0,-433000000.0,-433000000.0,,,,,7416000000.0
2023-12-31,8627000000.0,-362000000.0,-3878000000.0,202000000.0,,-4638000000.0,10314000000.0,9890000000.0,109000000.0,315000000.0,-8560000000.0,,-8560000000.0,-1509000000.0,-3013000000.0,-3013000000.0,-362000000.0,-362000000.0,,-3676000000.0,-3676000000.0,-3878000000.0,202000000.0,-4390000000.0,,-4390000000.0,83000000.0,9000000.0,9000000.0,,-4482000000.0,156000000.0,-4638000000.0,13265000000.0,,13266000000.0,-2696000000.0,598000000.0,-3877000000.0,127000000.0,-1540000000.0,-1110000000.0,-1110000000.0,717000000.0,-1147000000.0,5807000000.0,570000000.0,325000000.0,,,2234000000.0,2234000000.0,5411000000.0,5411000000.0,5411000000.0,-260000000.0,-260000000.0,,,,,6891000000.0
2022-12-31,8138000000.0,0.0,-7875000000.0,91000000.0,,-5160000000.0,9890000000.0,12043000000.0,-211000000.0,-1942000000.0,-10904000000.0,0.0,-10904000000.0,-678000000.0,-2442000000.0,-2442000000.0,0.0,0.0,,-7784000000.0,-7784000000.0,-7875000000.0,91000000.0,-4337000000.0,0.0,-4337000000.0,571000000.0,-70000000.0,0.0,-70000000.0,-4838000000.0,322000000.0,-5160000000.0,13298000000.0,0.0,13299000000.0,-2582000000.0,611000000.0,-4133000000.0,158000000.0,-346000000.0,1249000000.0,1249000000.0,-1547000000.0,-48000000.0,3695000000.0,448000000.0,-331000000.0,,0.0,1928000000.0,1928000000.0,5078000000.0,5078000000.0,5078000000.0,844000000.0,844000000.0,,,,,7597000000.0
2021-12-31,9159000000.0,0.0,-9496000000.0,454000000.0,,-5640000000.0,12043000000.0,15247000000.0,-526000000.0,-2678000000.0,-11598000000.0,0.0,-11598000000.0,-192000000.0,-2364000000.0,-2364000000.0,0.0,0.0,,-9042000000.0,-9042000000.0,-9496000000.0,454000000.0,-5878000000.0,0.0,-5877000000.0,64000000.0,-444000000.0,7000000.0,-451000000.0,-5498000000.0,142000000.0,-5640000000.0,14799000000.0,0.0,14798000000.0,-2410000000.0,200000000.0,-3987000000.0,106000000.0,2459000000.0,3527000000.0,3527000000.0,-1232000000.0,164000000.0,4653000000.0,510000000.0,23000000.0,196000000.0,135000000.0,2350000000.0,2350000000.0,5052000000.0,5052000000.0,5052000000.0,-248000000.0,-248000000.0,585000000.0,101000000.0,-94000000.0,-44000000.0,6114000000.0
2020-12-31,,,,,0.0,,,,,,,-6000000.0,,,,,,,0.0,,,,,,-13000000.0,,,,10838000000.0,-510000000.0,,,,,84000000.0,,,,,,,,,,,,,1211000000.0,278000000.0,2500000000.0,,,,,,,,1713000000.0,-43000000.0,-69000000.0,7000000.0,
