,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Other Investments,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Finished Goods,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,3963444836.0,3963444836.0,135587000000.0,160862000000.0,44835000000.0,203357000000.0,17615000000.0,44835000000.0,2340000000.0,44835000000.0,148408000000.0,44858000000.0,23000000.0,44835000000.0,-9639000000.0,-9639000000.0,2810000000.0,33740000000.0,23502000000.0,42000000.0,42000000.0,240338000000.0,133479000000.0,11884000000.0,900000000.0,9356000000.0,8550000000.0,5984000000.0,4910000000.0,1074000000.0,105355000000.0,1782000000.0,103573000000.0,106859000000.0,19540000000.0,3331000000.0,3331000000.0,55507000000.0,558000000.0,54949000000.0,54949000000.0,,3007000000.0,25474000000.0,1346000000.0,1346000000.0,24128000000.0,24128000000.0,285196000000.0,160722000000.0,12865000000.0,16375000000.0,16375000000.0,59786000000.0,6821000000.0,,6821000000.0,,,,,64875000000.0,-37260000000.0,102135000000.0,6240000000.0,8482000000.0,73141000000.0,13912000000.0,360000000.0,0.0,124474000000.0,4602000000.0,,14951000000.0,9557000000.0,5394000000.0,66573000000.0,66573000000.0,-331000000.0,66904000000.0,38348000000.0,15413000000.0,22935000000.0,7323000000.0,15612000000.0
2023-12-31,0.0,3973624198.0,3973624198.0,124369000000.0,151107000000.0,42773000000.0,192004000000.0,19950000000.0,42773000000.0,1876000000.0,42773000000.0,142335000000.0,42798000000.0,25000000.0,42773000000.0,-9042000000.0,-9042000000.0,2384000000.0,31029000000.0,23128000000.0,42000000.0,42000000.0,230512000000.0,128981000000.0,9083000000.0,1300000000.0,11585000000.0,10748000000.0,6056000000.0,5051000000.0,1005000000.0,100957000000.0,1395000000.0,99562000000.0,101531000000.0,18832000000.0,2515000000.0,2515000000.0,50150000000.0,481000000.0,49669000000.0,49669000000.0,,2818000000.0,27216000000.0,1224000000.0,1224000000.0,25992000000.0,25992000000.0,273310000000.0,151829000000.0,11441000000.0,16985000000.0,16985000000.0,55650000000.0,5548000000.0,,5548000000.0,,,,,62205000000.0,-37529000000.0,99734000000.0,5308000000.0,9564000000.0,71859000000.0,12636000000.0,367000000.0,0.0,121481000000.0,3633000000.0,,15651000000.0,9455000000.0,6196000000.0,62026000000.0,62026000000.0,-320000000.0,62346000000.0,40171000000.0,15309000000.0,24862000000.0,8625000000.0,16237000000.0
2022-12-31,,3999960120.0,3999960120.0,113835000000.0,140474000000.0,43242000000.0,182211000000.0,19610000000.0,43242000000.0,1505000000.0,43242000000.0,132047000000.0,43167000000.0,-75000000.0,43242000000.0,-9339000000.0,-9339000000.0,2047000000.0,31754000000.0,22832000000.0,42000000.0,42000000.0,212717000000.0,115851000000.0,7176000000.0,1700000000.0,10637000000.0,9803000000.0,6432000000.0,4883000000.0,1549000000.0,89906000000.0,1101000000.0,88805000000.0,96866000000.0,14809000000.0,2404000000.0,2404000000.0,50568000000.0,404000000.0,50164000000.0,50164000000.0,0.0,2545000000.0,26540000000.0,935000000.0,935000000.0,25605000000.0,25605000000.0,255884000000.0,139408000000.0,11118000000.0,15552000000.0,15552000000.0,49903000000.0,2798000000.0,,2798000000.0,,2350000000.0,2350000000.0,,60037000000.0,-36015000000.0,96052000000.0,3203000000.0,9520000000.0,71012000000.0,11946000000.0,371000000.0,0.0,116476000000.0,3877000000.0,97000000.0,14080000000.0,8083000000.0,5997000000.0,54449000000.0,54449000000.0,-360000000.0,54809000000.0,44070000000.0,18936000000.0,25134000000.0,9377000000.0,15757000000.0
2021-12-31,,4121000000.0,4121000000.0,117552000000.0,139485000000.0,48519000000.0,186611000000.0,18269000000.0,48519000000.0,1393000000.0,48519000000.0,136919000000.0,48622000000.0,103000000.0,48519000000.0,-8339000000.0,-8339000000.0,1563000000.0,35769000000.0,22611000000.0,41000000.0,41000000.0,208413000000.0,117686000000.0,6066000000.0,535000000.0,15373000000.0,14366000000.0,6264000000.0,4683000000.0,1581000000.0,89448000000.0,1048000000.0,88400000000.0,90727000000.0,12883000000.0,2349000000.0,2349000000.0,50037000000.0,345000000.0,49692000000.0,48192000000.0,1500000000.0,2221000000.0,23237000000.0,888000000.0,888000000.0,22349000000.0,22349000000.0,257035000000.0,148039000000.0,14942000000.0,13796000000.0,13796000000.0,51256000000.0,4545000000.0,26361000000.0,4545000000.0,4545000000.0,2090000000.0,2090000000.0,619000000.0,63500000000.0,-37157000000.0,100657000000.0,2152000000.0,10207000000.0,75410000000.0,12438000000.0,450000000.0,0.0,108996000000.0,3416000000.0,9000000.0,12065000000.0,6280000000.0,5785000000.0,43913000000.0,43913000000.0,-330000000.0,44243000000.0,49593000000.0,29053000000.0,20540000000.0,5435000000.0,15105000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27951000000.0,,4901000000.0,402000000.0,144000000.0,258000000.0,,,,,,,,,,,,47000000.0,,,,,,,,,,,,
