,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Dueto Related Parties Current,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Accounts Receivable,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Receivables,Other Receivables,Duefrom Related Parties Current,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2024-12-31,126494683.0,1144579681.0,1271074364.0,73316000000.0,114404000000.0,-54334000000.0,140466000000.0,-1770000000.0,-54334000000.0,35679000000.0,61741000000.0,135938000000.0,61741000000.0,61741000000.0,-857000000.0,-857000000.0,20584000000.0,14384000000.0,68798000000.0,0.0,0.0,146294000000.0,126120000000.0,4000000000.0,16700000000.0,16700000000.0,105420000000.0,31223000000.0,74197000000.0,20174000000.0,1965000000.0,1222000000.0,1222000000.0,8984000000.0,4456000000.0,4528000000.0,4068000000.0,460000000.0,,8003000000.0,2697000000.0,905000000.0,5306000000.0,,,1524000000.0,3782000000.0,208035000000.0,189631000000.0,4325000000.0,2209000000.0,116075000000.0,103070000000.0,13005000000.0,67022000000.0,-56367000000.0,123389000000.0,2588000000.0,3377000000.0,28634000000.0,84344000000.0,4377000000.0,69000000.0,0.0,18404000000.0,1853000000.0,880000000.0,1607000000.0,8655000000.0,4379000000.0,,4276000000.0,-176000000.0,4452000000.0,5409000000.0,5409000000.0
2023-12-31,67096823.0,1195807331.0,1262904154.0,70623000000.0,113826000000.0,-46844000000.0,140473000000.0,-1913000000.0,-46844000000.0,38068000000.0,64715000000.0,136114000000.0,64715000000.0,64715000000.0,-964000000.0,-964000000.0,9373000000.0,7347000000.0,67705000000.0,0.0,0.0,142967000000.0,122039000000.0,3929000000.0,13458000000.0,13458000000.0,104652000000.0,33253000000.0,71399000000.0,20928000000.0,1296000000.0,825000000.0,825000000.0,9174000000.0,4815000000.0,4359000000.0,3619000000.0,740000000.0,,9633000000.0,3096000000.0,818000000.0,6537000000.0,,,1704000000.0,4833000000.0,207682000000.0,188667000000.0,4229000000.0,2042000000.0,111559000000.0,99325000000.0,12234000000.0,70837000000.0,-58481000000.0,129318000000.0,2489000000.0,3286000000.0,30805000000.0,88201000000.0,4465000000.0,72000000.0,0.0,19015000000.0,2352000000.0,702000000.0,1678000000.0,9148000000.0,4456000000.0,,4692000000.0,-161000000.0,4853000000.0,5135000000.0,5135000000.0
2022-12-31,22916449.0,1233960078.0,1256876527.0,67453000000.0,111792000000.0,-41884000000.0,141616000000.0,-5675000000.0,-41884000000.0,39832000000.0,69656000000.0,136452000000.0,69656000000.0,69656000000.0,-1046000000.0,-1046000000.0,3016000000.0,-223000000.0,73941000000.0,0.0,0.0,141682000000.0,116940000000.0,4101000000.0,10884000000.0,10884000000.0,101955000000.0,35159000000.0,66796000000.0,24742000000.0,1850000000.0,780000000.0,780000000.0,9837000000.0,4673000000.0,5164000000.0,5164000000.0,,,12275000000.0,3405000000.0,731000000.0,8870000000.0,688000000.0,,1657000000.0,7213000000.0,211338000000.0,192271000000.0,4127000000.0,2546000000.0,111540000000.0,99306000000.0,12234000000.0,74058000000.0,-53102000000.0,127160000000.0,2326000000.0,4599000000.0,33387000000.0,82080000000.0,4659000000.0,109000000.0,0.0,19067000000.0,2435000000.0,673000000.0,1884000000.0,9568000000.0,5123000000.0,,4445000000.0,-167000000.0,4612000000.0,4507000000.0,4507000000.0
2021-12-31,1537468.0,1249213681.0,1250751149.0,67562000000.0,108817000000.0,-40425000000.0,143295000000.0,-2608000000.0,-40425000000.0,34624000000.0,69102000000.0,137672000000.0,69102000000.0,69102000000.0,-1365000000.0,-1365000000.0,13000000.0,-2812000000.0,73292000000.0,0.0,0.0,137461000000.0,113962000000.0,5097000000.0,10216000000.0,10216000000.0,98649000000.0,30079000000.0,68570000000.0,23499000000.0,1070000000.0,856000000.0,856000000.0,10168000000.0,4545000000.0,5623000000.0,5623000000.0,,,11405000000.0,2649000000.0,710000000.0,8756000000.0,427000000.0,103000000.0,1830000000.0,6499000000.0,206563000000.0,185672000000.0,3232000000.0,2829000000.0,109527000000.0,97339000000.0,12188000000.0,70084000000.0,-49818000000.0,119902000000.0,2160000000.0,3703000000.0,34113000000.0,75357000000.0,4344000000.0,225000000.0,0.0,20891000000.0,2005000000.0,746000000.0,2567000000.0,8942000000.0,4748000000.0,27000000.0,4194000000.0,-146000000.0,4340000000.0,6631000000.0,6631000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163000000.0,,,,,407000000.0,157000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,22000000.0,,,,,
