,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Properties Purchase And Sale,Purchase Of Investment Properties,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-12-31,3161000000.0,-1213000000.0,-29660000000.0,26967000000.0,,-11269000000.0,5334000000.0,1581000000.0,506000000.0,709000000.0,-203000000.0,-3979000000.0,-3979000000.0,-105000000.0,32000000.0,-1213000000.0,-1213000000.0,,-2693000000.0,-2693000000.0,-29660000000.0,26967000000.0,-10654000000.0,-10654000000.0,615000000.0,,,,,-11269000000.0,-11269000000.0,1096000000.0,14430000000.0,14430000000.0,-1048000000.0,-310000000.0,-310000000.0,-310000000.0,-609000000.0,-129000000.0,-129000000.0,388000000.0,651000000.0,-87000000.0,-87000000.0,8673000000.0,8673000000.0,,,,5853000000.0
2023-12-31,3318000000.0,-3215000000.0,-21938000000.0,22062000000.0,,-11115000000.0,5020000000.0,1470000000.0,709000000.0,645000000.0,64000000.0,-3242000000.0,-3242000000.0,-173000000.0,22000000.0,-3215000000.0,-3215000000.0,,124000000.0,124000000.0,-21938000000.0,22062000000.0,-11127000000.0,-11127000000.0,-12000000.0,,,,,-11115000000.0,-11115000000.0,172000000.0,14433000000.0,14433000000.0,-447000000.0,169000000.0,169000000.0,169000000.0,-572000000.0,-44000000.0,-44000000.0,311000000.0,692000000.0,-80000000.0,-80000000.0,8696000000.0,8696000000.0,,,,5261000000.0
2022-12-31,5549000000.0,-10277000000.0,-19311000000.0,25643000000.0,0.0,-9376000000.0,4509000000.0,1321000000.0,645000000.0,601000000.0,44000000.0,-5767000000.0,-5767000000.0,-1827000000.0,5000000.0,-10277000000.0,-10277000000.0,0.0,6332000000.0,6332000000.0,-19311000000.0,25643000000.0,-9114000000.0,-9114000000.0,262000000.0,,,0.0,0.0,-9376000000.0,-9376000000.0,553000000.0,14925000000.0,14925000000.0,-396000000.0,148000000.0,148000000.0,148000000.0,-202000000.0,-342000000.0,-342000000.0,12000000.0,470000000.0,87000000.0,87000000.0,8903000000.0,8903000000.0,,,,5849000000.0
2021-12-31,8684000000.0,-15431000000.0,-12146000000.0,20976000000.0,0.0,-7555000000.0,4043000000.0,157000000.0,601000000.0,1001000000.0,-400000000.0,-8885000000.0,-8885000000.0,-2328000000.0,44000000.0,-15431000000.0,-15431000000.0,0.0,8830000000.0,8830000000.0,-12146000000.0,20976000000.0,-7754000000.0,-7754000000.0,-199000000.0,-128000000.0,-128000000.0,0.0,0.0,-7635000000.0,-7635000000.0,80000000.0,16239000000.0,16239000000.0,160000000.0,362000000.0,362000000.0,362000000.0,-167000000.0,-35000000.0,-35000000.0,158000000.0,430000000.0,826000000.0,826000000.0,9345000000.0,9345000000.0,,,,5320000000.0
2020-12-31,,,,,23000000.0,,,,,,,,,,,,,23000000.0,,,,,,,,-183000000.0,-183000000.0,-464000000.0,-464000000.0,,,,,,,,,,,,,,,,,,,224000000.0,66000000.0,15000000.0,
