,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,12220328106.623507,0.28329,152639500000.0,43137200000.0,43137200000.0,71119600000.0,42113300000.0,672938300000.0,195776700000.0,153663400000.0,-38933200000.0,48876000000.0,13670400000.0,40202728106.623505,70990000000.0,872679900000.0,569100000.0,1182616909.0,1182616909.0,58.702228,58.702228,69423400000.0,69423400000.0,1566600000.0,70990000000.0,-9059900000.0,80049900000.0,-129600000.0,80179500000.0,29685200000.0,104787400000.0,6938300000.0,41461700000.0,-41086800000.0,-374900000.0,,-38933200000.0,3727600000.0,48876000000.0,13670400000.0,104430900000.0,199741600000.0,146719000000.0,21395700000.0,8231300000.0,13164400000.0,569100000.0,304172500000.0,672938300000.0,977110800000.0,977110800000.0
2024-03-31,-2182884325.39884,0.331277,123454500000.0,-6589300000.0,-6589300000.0,32395500000.0,30421500000.0,651673100000.0,116865200000.0,86443700000.0,-30401700000.0,37194600000.0,10474000000.0,36801915674.60116,32407800000.0,873032800000.0,661500000.0,1175884969.0,1175884969.0,26.408732,26.408732,31054200000.0,31054200000.0,1353600000.0,32407800000.0,-944900000.0,33352700000.0,12300000.0,33340400000.0,16315100000.0,49249100000.0,4704100000.0,-7696000000.0,5271800000.0,2424200000.0,,-30401700000.0,3681100000.0,37194600000.0,10474000000.0,90128700000.0,221359700000.0,178929800000.0,18640800000.0,6789300000.0,11851500000.0,661500000.0,311488400000.0,651673100000.0,963161500000.0,963161500000.0
2023-03-31,-1408113553.76291,0.320558,91167000000.0,-4392700000.0,-4392700000.0,24550200000.0,24361400000.0,1067716500000.0,86774300000.0,62412900000.0,-25971500000.0,30033700000.0,8354100000.0,27534786446.23709,24639800000.0,1205616700000.0,906200000.0,1171228253.0,1171228253.0,21.115351,21.115351,24639800000.0,24639800000.0,0.0,24639800000.0,423800000.0,24216000000.0,89600000.0,24126400000.0,10379400000.0,32379200000.0,3198100000.0,-4498600000.0,3721500000.0,777100000.0,-117600000.0,-25971500000.0,4291900000.0,30033700000.0,8354100000.0,68279800000.0,137900200000.0,103027500000.0,15812100000.0,5522300000.0,10289800000.0,906200000.0,206180000000.0,1067716500000.0,1273896500000.0,1273896500000.0
2022-03-31,-301350000.0,0.3,42604100000.0,-1004500000.0,-1004500000.0,7765600000.0,12477800000.0,612877600000.0,41599600000.0,29121800000.0,-16812600000.0,19601300000.0,7696900000.0,8468750000.0,7765600000.0,664414800000.0,448300000.0,1134428837.0,1134428837.0,6.844554,6.844554,7765600000.0,7765600000.0,0.0,7765600000.0,-111400000.0,7877000000.0,,7877000000.0,4766800000.0,9520500000.0,2201100000.0,-1023600000.0,-29000000.0,1052600000.0,,-16812600000.0,4908200000.0,19601300000.0,7696900000.0,28628800000.0,51537200000.0,32748300000.0,7078500000.0,1478000000.0,5600500000.0,448300000.0,80166000000.0,612877600000.0,693043600000.0,693043600000.0
