,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-73602000.0,0.141,26228000000.0,-522000000.0,-522000000.0,17117000000.0,4499000000.0,15193000000.0,25706000000.0,21207000000.0,-856000000.0,1271000000.0,415000000.0,17565398000.0,17117000000.0,43947000000.0,2541000000.0,2527637335.0,6.74,6.771937,17117000000.0,17117000000.0,17117000000.0,-16000000.0,17133000000.0,,17133000000.0,2803000000.0,19936000000.0,571000000.0,1093000000.0,-309000000.0,309000000.0,-213000000.0,-856000000.0,1271000000.0,415000000.0,20221000000.0,28754000000.0,17938000000.0,10816000000.0,48975000000.0,15193000000.0,64168000000.0,64168000000.0
2023-12-31,-132090000.0,0.21,7536000000.0,-629000000.0,-629000000.0,365000000.0,3872000000.0,16126000000.0,6907000000.0,3035000000.0,-781000000.0,1146000000.0,365000000.0,861910000.0,365000000.0,57161000000.0,2607142857.0,2607142857.0,0.14,0.14,365000000.0,365000000.0,365000000.0,-12000000.0,377000000.0,0.0,377000000.0,1512000000.0,1889000000.0,-284000000.0,345000000.0,-599000000.0,599000000.0,-30000000.0,-781000000.0,1146000000.0,365000000.0,2954000000.0,41035000000.0,30531000000.0,10504000000.0,43989000000.0,16126000000.0,60115000000.0,60115000000.0
2022-12-31,-233181000.0,0.117,23308000000.0,-1993000000.0,-1993000000.0,14519000000.0,3909000000.0,17411000000.0,21315000000.0,17406000000.0,-805000000.0,962000000.0,157000000.0,16278819000.0,14519000000.0,41001000000.0,2542000000.0,2532000000.0,5.71,5.73,14519000000.0,14519000000.0,14519000000.0,-7000000.0,14526000000.0,0.0,14526000000.0,1918000000.0,16444000000.0,-1033000000.0,960000000.0,-337000000.0,337000000.0,-1656000000.0,-805000000.0,962000000.0,157000000.0,18282000000.0,23590000000.0,13548000000.0,10042000000.0,41872000000.0,17411000000.0,59283000000.0,59283000000.0
2021-12-31,107617407.594207,0.10959,16917000000.0,982000000.0,982000000.0,13049000000.0,3214000000.0,13626000000.0,17899000000.0,14685000000.0,-770000000.0,806000000.0,36000000.0,12174617407.594208,13049000000.0,35505000000.0,2538000000.0,2530000000.0,5.14,5.16,13049000000.0,13049000000.0,13049000000.0,691000000.0,12358000000.0,704000000.0,12358000000.0,1521000000.0,13879000000.0,1450000000.0,468000000.0,-661000000.0,661000000.0,1643000000.0,-770000000.0,806000000.0,36000000.0,13199000000.0,21879000000.0,12245000000.0,9634000000.0,35078000000.0,13626000000.0,48704000000.0,48704000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,2548000000.0,,,,,,,,,,,,,,,,,,,
