,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash From Discontinued Financing Activities,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash From Discontinued Investing Activities,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2025-09-30,12820000000.0,-8791000000.0,-2363000000.0,2485000000.0,404000000.0,-1192000000.0,7843000000.0,7849000000.0,-22000000.0,16000000.0,-13196000000.0,0.0,-13196000000.0,-1126000000.0,-3805000000.0,-3805000000.0,-8387000000.0,-8791000000.0,404000000.0,122000000.0,0.0,-998000000.0,998000000.0,122000000.0,-1365000000.0,1487000000.0,-800000000.0,0.0,-800000000.0,-1000000.0,1122000000.0,5816000000.0,-4694000000.0,-743000000.0,-743000000.0,14000000.0,14000000.0,-1192000000.0,14012000000.0,0.0,14012000000.0,414000000.0,62000000.0,971000000.0,-116000000.0,-235000000.0,119000000.0,119000000.0,-138000000.0,-365000000.0,-365000000.0,-57000000.0,2783000000.0,130000000.0,3980000000.0,3980000000.0,1602000000.0,1602000000.0,-381000000.0,-381000000.0,5541000000.0
2024-09-30,11161000000.0,-4121000000.0,-1713000000.0,799000000.0,383000000.0,-1041000000.0,7849000000.0,8527000000.0,12000000.0,-690000000.0,-9269000000.0,19000000.0,-9288000000.0,-949000000.0,-3687000000.0,-3687000000.0,-3738000000.0,-4121000000.0,383000000.0,-914000000.0,0.0,-799000000.0,799000000.0,-914000000.0,-914000000.0,0.0,-3623000000.0,2000000.0,-3625000000.0,-36000000.0,-2304000000.0,2765000000.0,-5069000000.0,-254000000.0,-254000000.0,10000000.0,10000000.0,-1041000000.0,12202000000.0,-91000000.0,12293000000.0,1223000000.0,20000000.0,230000000.0,1728000000.0,1046000000.0,682000000.0,682000000.0,13000000.0,-768000000.0,-768000000.0,-67000000.0,2648000000.0,86000000.0,-3064000000.0,-3064000000.0,1706000000.0,1706000000.0,-349000000.0,-349000000.0,10110000000.0
2023-09-30,9849000000.0,-2973000000.0,-7012000000.0,6948000000.0,434000000.0,-1450000000.0,8527000000.0,3099000000.0,30000000.0,5398000000.0,-6663000000.0,-58000000.0,-6605000000.0,-540000000.0,-3462000000.0,-3462000000.0,-2539000000.0,-2973000000.0,434000000.0,-64000000.0,-498000000.0,-5566000000.0,5068000000.0,434000000.0,-1446000000.0,1880000000.0,762000000.0,1383000000.0,-621000000.0,19000000.0,918000000.0,1586000000.0,-668000000.0,-235000000.0,-235000000.0,127000000.0,127000000.0,-1450000000.0,11299000000.0,-399000000.0,11698000000.0,1148000000.0,-56000000.0,603000000.0,-1879000000.0,1000000.0,-1880000000.0,-1880000000.0,8000000.0,2472000000.0,2472000000.0,25000000.0,2484000000.0,314000000.0,-1269000000.0,-1269000000.0,1809000000.0,1809000000.0,-152000000.0,-152000000.0,7339000000.0
2022-09-30,6834000000.0,-3129000000.0,-8892000000.0,8477000000.0,356000000.0,-2262000000.0,3099000000.0,7116000000.0,-113000000.0,-3904000000.0,-7196000000.0,4000000.0,-7200000000.0,-800000000.0,-3212000000.0,-3212000000.0,-2773000000.0,-3129000000.0,356000000.0,-415000000.0,-3000000.0,-7003000000.0,7000000000.0,-412000000.0,-1889000000.0,1477000000.0,-5804000000.0,-16000000.0,-5788000000.0,41000000.0,1340000000.0,2754000000.0,-1414000000.0,-4912000000.0,-4912000000.0,5000000.0,5000000.0,-2262000000.0,9096000000.0,-170000000.0,9266000000.0,-7800000000.0,-324000000.0,-2266000000.0,-7000000.0,-1043000000.0,1036000000.0,1036000000.0,-3137000000.0,-2066000000.0,-2066000000.0,-56000000.0,2031000000.0,49000000.0,-138000000.0,-138000000.0,1762000000.0,1762000000.0,432000000.0,432000000.0,12986000000.0
