,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Interest Paid Cff,Proceeds From Stock Option Exercised,Cash Dividends Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Asset Impairment Charge,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,225570000000.0,-420000000.0,-383090000000.0,396770000000.0,84580000000.0,-170050000000.0,39930000000.0,28120000000.0,320000000.0,11490000000.0,-192230000000.0,,31340000000.0,-105390000000.0,,-167720000000.0,84580000000.0,-420000000.0,84580000000.0,13680000000.0,-7990000000.0,-127220000000.0,119230000000.0,21670000000.0,-255870000000.0,277540000000.0,-191900000000.0,,-25480000000.0,23900000000.0,350000000.0,-23530000000.0,1120610000000.0,-1144140000000.0,0.0,0.0,,-167140000000.0,2910000000.0,-170050000000.0,395620000000.0,,-30830000000.0,,,,-6650000000.0,,-45040000000.0,-17140000000.0,55530000000.0,69560000000.0,580000000.0,,3430000000.0,,,111390000000.0,1930000000.0,109460000000.0,,-2970000000.0,570000000.0,-1910000000.0,,268770000000.0
2024-03-31,189020000000.0,-2000000000.0,-314330000000.0,362480000000.0,-2000000000.0,-167520000000.0,28120000000.0,69260000000.0,100000000.0,-41240000000.0,-260920000000.0,,,-98780000000.0,,-185720000000.0,-2000000000.0,-2000000000.0,-2000000000.0,48150000000.0,-81480000000.0,-189180000000.0,107700000000.0,129630000000.0,-125150000000.0,254780000000.0,-136860000000.0,,-7970000000.0,16780000000.0,400000000.0,15990000000.0,558590000000.0,-542600000000.0,840000000.0,840000000.0,,-165570000000.0,1950000000.0,-167520000000.0,356540000000.0,,-26850000000.0,,,,15520000000.0,,-2980000000.0,16700000000.0,1800000000.0,47170000000.0,700000000.0,,2610000000.0,,,107440000000.0,2470000000.0,104970000000.0,,-3460000000.0,2630000000.0,1140000000.0,-1780000000.0,203650000000.0
2023-03-31,192780000000.0,0.0,-297340000000.0,424700000000.0,0.0,-137870000000.0,69260000000.0,86710000000.0,250000000.0,-17700000000.0,-341420000000.0,,-170000000.0,-55300000000.0,,-299590000000.0,0.0,0.0,0.0,127360000000.0,45760000000.0,-192700000000.0,238460000000.0,81600000000.0,-104640000000.0,186240000000.0,-6930000000.0,,49060000000.0,16740000000.0,180000000.0,39550000000.0,1152440000000.0,-1112890000000.0,0.0,0.0,,-136540000000.0,1330000000.0,-137870000000.0,330650000000.0,,-63570000000.0,,,,45990000000.0,,36650000000.0,-7280000000.0,16620000000.0,34640000000.0,770000000.0,,4260000000.0,,,105970000000.0,2410000000.0,103560000000.0,,-740000000.0,4920000000.0,90000000.0,0.0,202760000000.0
2022-03-31,243330000000.0,,-390950000000.0,350470000000.0,,-106300000000.0,86710000000.0,48540000000.0,100000000.0,38070000000.0,-289030000000.0,-208166000000.0,-26682000000.0,-52740000000.0,,-166810000000.0,,,,-40480000000.0,37940000000.0,-103370000000.0,141310000000.0,-78420000000.0,-287580000000.0,209160000000.0,-22530000000.0,-36608000000.0,48470000000.0,18680000000.0,10000000.0,-2870000000.0,868480000000.0,-871350000000.0,0.0,,0.0,-103050000000.0,3250000000.0,-106300000000.0,349630000000.0,282819000000.0,-57360000000.0,18682000000.0,-52217000000.0,15000000.0,-47660000000.0,51461000000.0,78060000000.0,-43730000000.0,-81990000000.0,33640000000.0,790000000.0,-2087000000.0,2440000000.0,-34613000000.0,91148000000.0,89190000000.0,,89190000000.0,1476000000.0,-2090000000.0,2350000000.0,-1280000000.0,,329640000000.0
2021-03-31,,0.0,,,0.0,,,,,,,-131371000000.0,-5361000000.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-167358000000.0,,,,,,,,,-448000000.0,,,,,295952000000.0,,20351000000.0,-53499000000.0,18000000.0,,7515000000.0,,,,,,-9340000000.0,,2511000000.0,81178000000.0,,,,-1768000000.0,,,,,
