,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,3926000000.0,5666990035.0,9592990035.0,62606000000.0,63649000000.0,-35736000000.0,151852000000.0,7363000000.0,-35736000000.0,88203000000.0,144906000000.0,88497000000.0,294000000.0,88203000000.0,,-7842000000.0,57000000.0,-7984000000.0,191000000.0,-106000000.0,114763000000.0,116725000000.0,93603000000.0,480000000.0,480000000.0,,124899000000.0,81904000000.0,14151000000.0,701000000.0,2115000000.0,2115000000.0,6112000000.0,2122000000.0,2122000000.0,56703000000.0,56703000000.0,42995000000.0,19720000000.0,1511000000.0,1511000000.0,6946000000.0,6946000000.0,4493000000.0,2453000000.0,3838000000.0,10980000000.0,10980000000.0,2437000000.0,2910000000.0,2910000000.0,5633000000.0,213396000000.0,163038000000.0,9817000000.0,8662000000.0,8662000000.0,2227000000.0,,2010000000.0,45000000.0,1965000000.0,217000000.0,123939000000.0,55412000000.0,68527000000.0,18393000000.0,-16483000000.0,34876000000.0,4937000000.0,1000000.0,20611000000.0,9036000000.0,291000000.0,0.0,50358000000.0,4253000000.0,,10851000000.0,-1000000.0,3775000000.0,6101000000.0,976000000.0,14777000000.0,3314000000.0,11463000000.0,-438000000.0,11901000000.0,20477000000.0,19434000000.0,1043000000.0
2023-12-31,3916000000.0,5646000000.0,9562000000.0,67992000000.0,70845000000.0,-43669000000.0,159859000000.0,-4461000000.0,-43669000000.0,89014000000.0,149513000000.0,89288000000.0,274000000.0,89014000000.0,,-7961000000.0,-217000000.0,-7863000000.0,128000000.0,-9000000.0,114487000000.0,118353000000.0,92631000000.0,478000000.0,478000000.0,0.0,137213000000.0,89419000000.0,16540000000.0,1039000000.0,2167000000.0,2167000000.0,8534000000.0,640000000.0,640000000.0,60499000000.0,60499000000.0,47794000000.0,20541000000.0,2700000000.0,2700000000.0,10346000000.0,10346000000.0,2381000000.0,7965000000.0,2776000000.0,11431000000.0,11431000000.0,2372000000.0,2349000000.0,2349000000.0,6710000000.0,226501000000.0,183168000000.0,12471000000.0,3706000000.0,3706000000.0,15368000000.0,,3731000000.0,47000000.0,3684000000.0,11637000000.0,132683000000.0,64900000000.0,67783000000.0,18940000000.0,-16045000000.0,34985000000.0,5925000000.0,-1000000.0,19662000000.0,9046000000.0,353000000.0,0.0,43333000000.0,4910000000.0,,10189000000.0,-1000000.0,3495000000.0,5688000000.0,1007000000.0,15544000000.0,3978000000.0,11566000000.0,-470000000.0,12036000000.0,12690000000.0,9837000000.0,2853000000.0
2022-12-31,3903000000.0,5616000000.0,9519000000.0,34443000000.0,34859000000.0,916000000.0,130520000000.0,9121000000.0,916000000.0,95661000000.0,127586000000.0,95916000000.0,256000000.0,95661000000.0,,-8304000000.0,-412000000.0,-8360000000.0,248000000.0,220000000.0,113969000000.0,125656000000.0,91802000000.0,476000000.0,476000000.0,0.0,101289000000.0,59151000000.0,13182000000.0,959000000.0,2250000000.0,2250000000.0,9812000000.0,1023000000.0,1023000000.0,31925000000.0,31925000000.0,42138000000.0,22578000000.0,2520000000.0,2520000000.0,2934000000.0,2934000000.0,2934000000.0,0.0,3407000000.0,10699000000.0,10699000000.0,2303000000.0,1587000000.0,1587000000.0,6809000000.0,197205000000.0,145944000000.0,13163000000.0,6693000000.0,6693000000.0,15069000000.0,,4036000000.0,48000000.0,3988000000.0,11033000000.0,94745000000.0,43370000000.0,51375000000.0,16274000000.0,-15174000000.0,31448000000.0,4875000000.0,1000000.0,17372000000.0,8832000000.0,368000000.0,0.0,51259000000.0,5017000000.0,,8981000000.0,,2603000000.0,5519000000.0,859000000.0,14529000000.0,3577000000.0,10952000000.0,-449000000.0,11401000000.0,22732000000.0,22316000000.0,416000000.0
2021-12-31,3851000000.0,5620000000.0,9471000000.0,35054000000.0,36998000000.0,2847000000.0,114199000000.0,17022000000.0,2847000000.0,77201000000.0,111958000000.0,77462000000.0,262000000.0,77201000000.0,1000000.0,-5896000000.0,119000000.0,-6172000000.0,377000000.0,-220000000.0,111361000000.0,103394000000.0,90591000000.0,473000000.0,473000000.0,0.0,104014000000.0,61343000000.0,9744000000.0,1438000000.0,3724000000.0,3724000000.0,11331000000.0,349000000.0,349000000.0,34757000000.0,34757000000.0,42671000000.0,24938000000.0,3067000000.0,3067000000.0,2241000000.0,2241000000.0,2241000000.0,0.0,3332000000.0,9093000000.0,9093000000.0,2249000000.0,1266000000.0,1266000000.0,5578000000.0,181476000000.0,121782000000.0,7679000000.0,3341000000.0,3341000000.0,21526000000.0,5054000000.0,5054000000.0,34000000.0,5020000000.0,16472000000.0,74354000000.0,25146000000.0,49208000000.0,14882000000.0,-15074000000.0,29956000000.0,3822000000.0,,16709000000.0,9001000000.0,423000000.0,0.0,59693000000.0,3820000000.0,,9059000000.0,,3641000000.0,4424000000.0,994000000.0,15745000000.0,4266000000.0,11479000000.0,-492000000.0,11971000000.0,31069000000.0,29125000000.0,1944000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406000000.0,,,,,,,,,,,,-1000000.0,,,,,,,167000000.0,,1000000.0,,,,,,,,,,,
