,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Net Income From Continuing Operations
2025-06-30,14044000000.0,-6500000000.0,-9627000000.0,10257000000.0,-3773000000.0,896000000.0,4554000000.0,9556000000.0,9482000000.0,112000000.0,-38000000.0,-14036000000.0,-14035000000.0,-1000000.0,1707000000.0,-9872000000.0,-6500000000.0,-6500000000.0,630000000.0,370000000.0,-7650000000.0,8020000000.0,260000000.0,-1977000000.0,2237000000.0,-3818000000.0,-3818000000.0,-34000000.0,,,,-11000000.0,-11000000.0,-3773000000.0,17817000000.0,17818000000.0,-821000000.0,,-542000000.0,-542000000.0,-542000000.0,-324000000.0,45000000.0,45000000.0,-1654000000.0,476000000.0,0.0,149000000.0,149000000.0,2847000000.0,2847000000.0,755000000.0,16065000000.0
2024-06-30,16524000000.0,-5006000000.0,-10024000000.0,7582000000.0,-3322000000.0,878000000.0,4363000000.0,9482000000.0,8246000000.0,-251000000.0,1487000000.0,-14855000000.0,-14855000000.0,,1905000000.0,-9312000000.0,-5006000000.0,-5006000000.0,-2442000000.0,-3304000000.0,-7689000000.0,4385000000.0,862000000.0,-2335000000.0,3197000000.0,-3504000000.0,-3504000000.0,-161000000.0,,,,-21000000.0,-21000000.0,-3322000000.0,19846000000.0,19847000000.0,42000000.0,-1414000000.0,878000000.0,878000000.0,878000000.0,-70000000.0,-766000000.0,-766000000.0,490000000.0,562000000.0,1341000000.0,-244000000.0,-244000000.0,2896000000.0,2896000000.0,-215000000.0,14974000000.0
2023-06-30,13786000000.0,-7353000000.0,-18228000000.0,21165000000.0,-3062000000.0,721000000.0,4278000000.0,8246000000.0,7214000000.0,-170000000.0,1202000000.0,-12146000000.0,-12146000000.0,,1269000000.0,-8999000000.0,-7353000000.0,-7353000000.0,2937000000.0,818000000.0,-16350000000.0,17168000000.0,2119000000.0,-1878000000.0,3997000000.0,-3500000000.0,-3500000000.0,327000000.0,,,,-765000000.0,-765000000.0,-3062000000.0,16848000000.0,16848000000.0,-873000000.0,-1107000000.0,-447000000.0,-447000000.0,-447000000.0,-119000000.0,-307000000.0,-307000000.0,217000000.0,545000000.0,0.0,-453000000.0,-453000000.0,2714000000.0,2714000000.0,-40000000.0,14738000000.0
2022-06-30,13567000000.0,-10003000000.0,-13821000000.0,15713000000.0,-3156000000.0,451000000.0,3818000000.0,7214000000.0,10288000000.0,-497000000.0,-2577000000.0,-14876000000.0,-14876000000.0,,2005000000.0,-8770000000.0,-10003000000.0,-10003000000.0,1892000000.0,-150000000.0,-11478000000.0,11328000000.0,2042000000.0,-2343000000.0,4385000000.0,-4424000000.0,-4424000000.0,113000000.0,3000000.0,3000000.0,0.0,-1381000000.0,-1381000000.0,-3156000000.0,16723000000.0,16723000000.0,-1147000000.0,-635000000.0,1429000000.0,1429000000.0,1429000000.0,-1247000000.0,-694000000.0,-694000000.0,229000000.0,528000000.0,0.0,-402000000.0,-402000000.0,2807000000.0,2807000000.0,-85000000.0,14793000000.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55000000.0,0.0,-55000000.0,,,,,,,-369000000.0,,,,,,,,,,,,,,,
