,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-29610000.0,0.21,12317000000.0,-141000000.0,-141000000.0,6015000000.0,4667000000.0,23639000000.0,12176000000.0,7509000000.0,-965000000.0,1712000000.0,747000000.0,6126390000.0,6023000000.0,52678000000.0,937200000.0,921800000.0,6.43,6.53,6023000000.0,0.0,6023000000.0,6023000000.0,6023000000.0,8000000.0,6015000000.0,-218000000.0,5797000000.0,-3313000000.0,-3172000000.0,-104000000.0,592000000.0,,696000000.0,-37000000.0,-965000000.0,1712000000.0,747000000.0,10074000000.0,25477000000.0,-996000000.0,-21000000.0,1105000000.0,1105000000.0,1105000000.0,1105000000.0,7479000000.0,17910000000.0,1173000000.0,16737000000.0,16047000000.0,690000000.0,35551000000.0,27201000000.0,62753000000.0,62753000000.0
2023-12-31,-67230000.0,0.135,15191000000.0,-498000000.0,-498000000.0,7514000000.0,4396000000.0,24159000000.0,14693000000.0,10297000000.0,-937000000.0,1607000000.0,670000000.0,7944770000.0,7502000000.0,52039000000.0,922100000.0,911200000.0,8.14,8.23,7502000000.0,0.0,7502000000.0,7502000000.0,7502000000.0,-12000000.0,7514000000.0,1176000000.0,8690000000.0,-193000000.0,305000000.0,-438000000.0,8000000.0,,438000000.0,-60000000.0,-937000000.0,1607000000.0,670000000.0,9821000000.0,24479000000.0,-860000000.0,10000000.0,995000000.0,995000000.0,995000000.0,995000000.0,6775000000.0,17559000000.0,1237000000.0,16322000000.0,15706000000.0,616000000.0,34300000000.0,27560000000.0,61860000000.0,61860000000.0
2022-12-31,29400000.0,0.21,7034000000.0,140000000.0,140000000.0,1783000000.0,4802000000.0,27842000000.0,7174000000.0,2372000000.0,-1054000000.0,1216000000.0,162000000.0,1672400000.0,1640000000.0,52355000000.0,912300000.0,902700000.0,1.8,1.82,1639000000.0,0.0,1639000000.0,1640000000.0,1640000000.0,-143000000.0,1783000000.0,-626000000.0,1156000000.0,-5965000000.0,-6105000000.0,-29000000.0,21000000.0,,50000000.0,140000000.0,-1054000000.0,1216000000.0,162000000.0,8174000000.0,24513000000.0,-663000000.0,64000000.0,1062000000.0,1062000000.0,1062000000.0,1062000000.0,6567000000.0,18609000000.0,1330000000.0,16103000000.0,15537000000.0,566000000.0,32687000000.0,27842000000.0,60530000000.0,60530000000.0
2021-12-31,3383915.650196,0.025636,12277000000.0,132000000.0,132000000.0,4712000000.0,6417000000.0,25865000000.0,12409000000.0,5992000000.0,-1103000000.0,1155000000.0,52000000.0,4583383915.650196,5742000000.0,50486000000.0,904600000.0,896000000.0,6.35,6.41,5743000000.0,0.0,5743000000.0,5742000000.0,5742000000.0,1030000000.0,4712000000.0,124000000.0,4837000000.0,-925000000.0,-1057000000.0,-146000000.0,35000000.0,,181000000.0,132000000.0,-1103000000.0,1155000000.0,52000000.0,6865000000.0,24621000000.0,-612000000.0,-71000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,6488000000.0,18745000000.0,1413000000.0,16105000000.0,15550000000.0,555000000.0,31486000000.0,25865000000.0,57351000000.0,57351000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000000.0,,,,,,,,,,,,,,,,,,,,,,,
