,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Commercial Paper,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Note Receivables,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Taxes Receivable,Loans Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,3681348742.0,3681348742.0,306140000000.0,740040000000.0,333320000000.0,1811070000000.0,-177060000000.0,333320000000.0,90410000000.0,1161440000000.0,1588250000000.0,1227540000000.0,66100000000.0,1161440000000.0,940000000.0,,806540000000.0,143650000000.0,7360000000.0,7360000000.0,2558880000000.0,778570000000.0,-105090000000.0,24640000000.0,7230000000.0,,39390000000.0,,220490000000.0,16690000000.0,440800000000.0,13990000000.0,426810000000.0,158310000000.0,1780310000000.0,1480000000.0,,,299240000000.0,76420000000.0,222820000000.0,,,,209350000000.0,,,,1049010000000.0,9400000000.0,59120000000.0,,980490000000.0,3786420000000.0,2183170000000.0,37120000000.0,,21460000000.0,,71760000000.0,,,,,,151080000000.0,6000000000.0,138940000000.0,6140000000.0,55340000000.0,34260000000.0,21080000000.0,828120000000.0,819170000000.0,8950000000.0,991050000000.0,-1351300000000.0,2342350000000.0,180380000000.0,24560000000.0,1610700000000.0,447710000000.0,79000000000.0,0.0,1603250000000.0,28360000000.0,44400000000.0,5140000000.0,9910000000.0,71260000000.0,472690000000.0,361960000000.0,59420000000.0,51310000000.0,,124500000000.0,38040000000.0,,132480000000.0,-7500000000.0,139980000000.0,674370000000.0,330880000000.0,343490000000.0,276020000000.0,67470000000.0
2024-03-31,3832241897.0,3832241897.0,610340000000.0,1098120000000.0,200560000000.0,1859670000000.0,-166660000000.0,200560000000.0,87630000000.0,849180000000.0,1496150000000.0,930940000000.0,81760000000.0,849180000000.0,841510000000.0,,552100500000.0,142654800000.0,7670000000.0,7670000000.0,2775700000000.0,925120000000.0,-36840000000.0,25479000000.0,14220000000.0,,35870000000.0,,118250000000.0,11430000000.0,657900000000.0,10930000000.0,646970000000.0,122910000000.0,1850580000000.0,1360000000.0,,,440220000000.0,76700000000.0,363520000000.0,,,,165370000000.0,,,,1024140000000.0,13610000000.0,64110000000.0,,946420000000.0,3706640000000.0,2022720000000.0,33180000000.0,31877800000.0,15650000000.0,,130990000000.0,,,31631300000.0,,33775500000.0,185580000000.0,10760000000.0,169350000000.0,5470000000.0,53400000000.0,34480000000.0,18920000000.0,648620000000.0,640020000000.0,8600000000.0,924000000000.0,-1268144100000.0,924000000000.0,112160000000.0,811840000000.0,1587005500000.0,406926800000.0,79968400000.0,0.0,1683920000000.0,20590000000.0,31060000000.0,6740000000.0,11310000000.0,53990000000.0,477880000000.0,366220000000.0,61820000000.0,49840000000.0,,277980000000.0,34440000000.0,,169520000000.0,-7510000000.0,177030000000.0,599290000000.0,199140000000.0,400150000000.0,332240000000.0,67910000000.0
2023-03-31,3829847221.0,3829847221.0,962735300000.0,1366134500000.0,-112881300000.0,1734822700000.0,-34988700000.0,-112881300000.0,84529700000.0,453217900000.0,1365176000000.0,525995100000.0,72777200000.0,453217900000.0,2770200000.0,,252510200000.0,141666100000.0,7660200000.0,7660200000.0,2834818700000.0,1284545300000.0,1200700000.0,,55068900000.0,,3688700000.0,,89202200000.0,14069500000.0,987643000000.0,75684900000.0,911958100000.0,131965300000.0,1550273400000.0,1357000000.0,,,378491500000.0,8844800000.0,369646700000.0,,,,118106600000.0,,,,865707200000.0,16759100000.0,50583600000.0,,798364500000.0,3360813800000.0,1845529100000.0,967800000.0,67328200000.0,11003800000.0,,51846700000.0,,,26860100000.0,,10760000000.0,30573200000.0,10760000000.0,15270900000.0,4542300000.0,46756600000.0,,,566099200000.0,557693200000.0,8406000000.0,901075900000.0,-1231977400000.0,2133053300000.0,55831200000.0,21171600000.0,1587124300000.0,387805200000.0,81121000000.0,0.0,1515284700000.0,2105900000.0,11574900000.0,8277800000.0,50952900000.0,49819500000.0,407553900000.0,291712700000.0,58407400000.0,57433800000.0,,256007000000.0,57457500000.0,,157379700000.0,-9246400000.0,166626100000.0,513764200000.0,194894700000.0,318869500000.0,236140600000.0,82728900000.0
2022-03-31,3829055161.0,3829055161.0,1027680300000.0,1476990300000.0,-133122700000.0,1854882800000.0,-37052700000.0,-133122700000.0,67719900000.0,445612400000.0,1435704100000.0,488323000000.0,42710600000.0,445612400000.0,4558100000.0,134538800000.0,229465800000.0,141394200000.0,7658800000.0,7658800000.0,2817876300000.0,1311048200000.0,349800000.0,,36248200000.0,4332400000.0,4332400000.0,60943400000.0,71765000000.0,15584400000.0,1049716100000.0,59624400000.0,990091700000.0,129558900000.0,1506828100000.0,1122200000.0,65586500000.0,65586500000.0,427274200000.0,8095500000.0,419178700000.0,274386300000.0,112802000000.0,58571800000.0,107663100000.0,818696300000.0,17468000000.0,17468000000.0,768943000000.0,17463700000.0,53976000000.0,12538500000.0,697503300000.0,3306199300000.0,1836423900000.0,9800000.0,43169400000.0,4345300000.0,38708700000.0,38708500000.0,118720200000.0,30424800000.0,20175900000.0,74766600000.0,5426100000.0,24118800000.0,5426100000.0,15635800000.0,3056900000.0,43493900000.0,31895800000.0,11598100000.0,578735100000.0,570663400000.0,8071700000.0,914504600000.0,-1120858200000.0,2035362800000.0,37464700000.0,22790300000.0,1532633600000.0,364655400000.0,77818800000.0,0.0,1469775400000.0,6900900000.0,19184900000.0,5238500000.0,4726000000.0,37127100000.0,352403400000.0,238853900000.0,55965400000.0,57584100000.0,395011500000.0,242120700000.0,42911200000.0,222162400000.0,124421200000.0,-8515600000.0,132936800000.0,634452300000.0,252862200000.0,381590100000.0,276806400000.0,104783700000.0
2021-03-31,,,,,,,,,,,,,,,,74667600000.0,,,,,,,,,,42244200000.0,,64035900000.0,,,,,,,,,57359300000.0,57359300000.0,,,,248468300000.0,133178800000.0,82499100000.0,,882536300000.0,16032300000.0,16032300000.0,,,,10864400000.0,,,,,50900000.0,,45203500000.0,,175777700000.0,25773200000.0,32612200000.0,63095500000.0,13683000000.0,,,,,,31777200000.0,10230700000.0,,,,,,,,,,,,,,,,,,,,,,,363749000000.0,,,180704600000.0,,,,,,,,
