,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2025-08-31,7837000000.0,-903000000.0,-1112000000.0,816000000.0,-5498000000.0,106000000.0,2917000000.0,14161000000.0,9906000000.0,6000000.0,4249000000.0,-3775000000.0,-3775000000.0,-393000000.0,-2183000000.0,,-903000000.0,-903000000.0,-296000000.0,-46000000.0,-862000000.0,816000000.0,-250000000.0,-250000000.0,0.0,-5311000000.0,-5311000000.0,74000000.0,113000000.0,1141000000.0,-1028000000.0,,,-5498000000.0,-5498000000.0,13335000000.0,13335000000.0,1764000000.0,801000000.0,404000000.0,404000000.0,404000000.0,559000000.0,303000000.0,860000000.0,-117000000.0,,,2426000000.0,2426000000.0,8099000000.0
2024-08-31,6629000000.0,-700000000.0,-2134000000.0,1426000000.0,-4710000000.0,129000000.0,2319000000.0,9906000000.0,13700000000.0,40000000.0,-3834000000.0,-10764000000.0,-10764000000.0,-315000000.0,-9041000000.0,,-700000000.0,-700000000.0,-708000000.0,8000000.0,-920000000.0,928000000.0,-716000000.0,-1214000000.0,498000000.0,-4409000000.0,-4409000000.0,-19000000.0,320000000.0,1790000000.0,-1470000000.0,,,-4710000000.0,-4710000000.0,11339000000.0,11339000000.0,611000000.0,741000000.0,1938000000.0,1938000000.0,1938000000.0,-2068000000.0,315000000.0,818000000.0,-9000000.0,,,2237000000.0,2237000000.0,7367000000.0
2023-08-31,6745000000.0,-676000000.0,-1301000000.0,917000000.0,-4323000000.0,125000000.0,2234000000.0,13700000000.0,10203000000.0,15000000.0,3482000000.0,-2614000000.0,-2614000000.0,-303000000.0,-1251000000.0,-1251000000.0,-676000000.0,-676000000.0,-384000000.0,-18000000.0,-935000000.0,917000000.0,-366000000.0,-366000000.0,0.0,-4972000000.0,-4972000000.0,36000000.0,-685000000.0,937000000.0,-1622000000.0,,,-4323000000.0,-4323000000.0,11068000000.0,11068000000.0,1018000000.0,172000000.0,-382000000.0,-382000000.0,-382000000.0,1228000000.0,412000000.0,774000000.0,495000000.0,,,2077000000.0,2077000000.0,6292000000.0
2022-08-31,3501000000.0,-439000000.0,-986000000.0,53000000.0,-3891000000.0,145000000.0,1940000000.0,10203000000.0,11258000000.0,-249000000.0,-806000000.0,-4283000000.0,-4283000000.0,-1413000000.0,-1498000000.0,-1498000000.0,-439000000.0,-439000000.0,-933000000.0,47000000.0,-6000000.0,53000000.0,-980000000.0,-980000000.0,0.0,-3915000000.0,-3915000000.0,-48000000.0,24000000.0,1145000000.0,-1121000000.0,0.0,0.0,-3891000000.0,-3891000000.0,7392000000.0,7392000000.0,-1563000000.0,549000000.0,1891000000.0,1891000000.0,1891000000.0,-4003000000.0,377000000.0,724000000.0,39000000.0,-37000000.0,-37000000.0,1900000000.0,1900000000.0,5915000000.0
2021-08-31,,,,,,,,,,,,,,,,-5748000000.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,59000000.0,59000000.0,,,
