,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,936600.0,0.21,-241306000.0,4460000.0,4460000.0,-258795000.0,19062000.0,1104800000.0,-236846000.0,-255908000.0,6765000.0,2203000.0,8968000.0,-262318400.0,-258795000.0,1585933000.0,-190969000.0,46542000.0,46542000.0,-5.56,-5.56,-258795000.0,-258795000.0,,,-258795000.0,,-258795000.0,,-258795000.0,684000.0,-258111000.0,-73907000.0,-680000.0,6890000.0,10275000.0,,,3385000.0,-77687000.0,-2430000.0,6765000.0,,2203000.0,8968000.0,-190969000.0,481133000.0,53586000.0,114584000.0,312963000.0,238564000.0,74399000.0,74399000.0,290164000.0,1104800000.0,1394964000.0,1394964000.0
2023-12-31,-4105500.0,0.21,-225363000.0,-19550000.0,-19550000.0,-307842000.0,19447000.0,1195093000.0,-244913000.0,-264360000.0,12007000.0,1762000.0,13769000.0,-292397500.0,-307842000.0,1679227000.0,-118105000.0,45214000.0,45214000.0,-6.81,-6.81,-307842000.0,-307842000.0,0.0,,-307842000.0,0.0,-307842000.0,0.0,-307842000.0,41720000.0,-266122000.0,-160024000.0,-70000.0,-19514000.0,6361000.0,,,25875000.0,-140404000.0,-36000.0,12007000.0,,1762000.0,13769000.0,-118105000.0,484134000.0,52023000.0,117154000.0,314957000.0,224547000.0,90410000.0,90410000.0,366029000.0,1195093000.0,1561122000.0,1561122000.0
2022-12-31,-28770.0,0.21,-15071000.0,-137000.0,-137000.0,-35236000.0,16706000.0,1421721000.0,-15208000.0,-31914000.0,2965000.0,1938000.0,4903000.0,-35127770.0,-35236000.0,1902326000.0,27008000.0,44323000.0,44323000.0,-0.83,-0.83,-36933000.0,-36933000.0,0.0,1697000.0,-35236000.0,0.0,-35236000.0,0.0,-35236000.0,1384000.0,-33852000.0,-63825000.0,235000.0,0.0,0.0,,,0.0,-63923000.0,-137000.0,2965000.0,-2965000.0,1938000.0,4903000.0,27008000.0,480605000.0,64269000.0,121158000.0,295178000.0,215477000.0,79701000.0,79701000.0,507613000.0,1421721000.0,1929334000.0,1929334000.0
2021-12-31,-334260.0,0.27,144901000.0,-1238000.0,-1238000.0,172126000.0,18564000.0,2132544000.0,143663000.0,125099000.0,-556000.0,2083000.0,1527000.0,173029740.0,389372000.0,2645374000.0,111072000.0,43332000.0,42981000.0,8.11,8.18,351364000.0,351364000.0,37279000.0,729000.0,389372000.0,335000.0,389037000.0,217246000.0,171791000.0,-48775000.0,123016000.0,12500000.0,1153000.0,0.0,0.0,,,0.0,12585000.0,-1238000.0,-556000.0,556000.0,2083000.0,1527000.0,111072000.0,512830000.0,,123001000.0,389829000.0,302430000.0,87399000.0,87399000.0,623902000.0,2132544000.0,2756446000.0,2756446000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,3763000.0,731000.0,,9830000.0,,-48956000.0,,,,,,,,10741000.0,1017000.0,,,,,838000.0,,,,,,,,,,,,,,
