,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,153483400000.0,-540200000.0,895000000.0,7973300000.0,-22787000000.0,6223800000.0,-1680200000.0,5965800000.0,1938200000.0,-170374000000.0,275400000.0,-500100000.0,-177822200000.0,-177822200000.0,7973300000.0,7973300000.0,354800000.0,370000000.0,-525000000.0,895000000.0,-15200000.0,-15200000.0,-3958200000.0,,10722800000.0,376700000.0,9116200000.0,747417100000.0,-738300900000.0,-3104400000.0,,-3104400000.0,-21032800000.0,1754200000.0,-22787000000.0,176270400000.0,-63502000000.0,-27420000000.0,12561800000.0,-29753800000.0,-10228000000.0,-14604500000.0,1337900000.0,19500000.0,19505800000.0,19505800000.0,-9089800000.0,67800000.0,-1356900000.0,-155831200000.0,425815900000.0
2024-03-31,136163300000.0,-15700000.0,80000000.0,14428300000.0,-35625300000.0,5965800000.0,,4059100000.0,1906700000.0,-185509600000.0,121200000.0,-462500000.0,-198992000000.0,-198992000000.0,14428300000.0,14428300000.0,64300000.0,80000000.0,0.0,80000000.0,-15700000.0,-15700000.0,15627700000.0,,11383500000.0,356500000.0,39101200000.0,836295100000.0,-797193900000.0,-650400000.0,0.0,-650400000.0,-34550500000.0,1074800000.0,-35625300000.0,171788600000.0,-61195600000.0,-33370300000.0,1414800000.0,-25448700000.0,-9336400000.0,-16645500000.0,1073000000.0,246100000.0,18163900000.0,18163900000.0,-8513000000.0,-133800000.0,-570400000.0,-98400000.0,271398800000.0
2023-03-31,161345600000.0,-7300000.0,0.0,24773900000.0,-27429900000.0,4059100000.0,,2666800000.0,1392300000.0,-130060300000.0,353700000.0,-414200000.0,-154175300000.0,-154175300000.0,24773900000.0,24773900000.0,-7300000.0,0.0,,0.0,-7300000.0,-7300000.0,-57322900000.0,-637500000.0,13237400000.0,185800000.0,-43719400000.0,889848400000.0,-933567800000.0,-96300000.0,560000000.0,-656300000.0,-26938200000.0,491700000.0,-27429900000.0,188775500000.0,-62502400000.0,-9241500000.0,10579300000.0,-10978700000.0,-8842100000.0,-14908000000.0,604100000.0,7500000.0,18090100000.0,18090100000.0,-3939900000.0,313700000.0,44000000.0,0.0,259151200000.0
2022-03-31,136338700000.0,-3500000.0,,2918200000.0,-21416400000.0,2666800000.0,,3101600000.0,-434800000.0,-135805000000.0,149200000.0,-395500000.0,-137883200000.0,-137883200000.0,2918200000.0,2918200000.0,-3500000.0,,,,-3500000.0,-3500000.0,-22384900000.0,,10345500000.0,160700000.0,-12016100000.0,761172200000.0,-773188300000.0,-731200000.0,0.0,-731200000.0,-20085400000.0,1331000000.0,-21416400000.0,157755100000.0,-49819500000.0,-995500000.0,10991100000.0,-4663700000.0,-7322900000.0,-10432700000.0,331700000.0,9300000.0,17324100000.0,17324100000.0,-5390000000.0,-89800000.0,-562200000.0,,207404700000.0
2021-03-31,,,,,,,570700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
