,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Dividend Received Cfo,Dividend Paid Cfo,Change In Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Operating Gains Losses,Pension And Employee Benefit Expense,Net Income From Continuing Operations
2024-12-31,30716000000.0,-19629000000.0,-5911000000.0,899000000.0,-24306000000.0,1900000000.0,13293000000.0,23187000000.0,31568000000.0,-676000000.0,-7705000000.0,-42789000000.0,-42789000000.0,-1444000000.0,-16704000000.0,-16704000000.0,-19629000000.0,-19629000000.0,-5012000000.0,-4761000000.0,-4761000000.0,0.0,-251000000.0,-1150000000.0,899000000.0,-19938000000.0,-19938000000.0,6913000000.0,-3299000000.0,-3299000000.0,754000000.0,754000000.0,-24306000000.0,-24306000000.0,55022000000.0,55022000000.0,191000000.0,,-1826000000.0,389000000.0,5627000000.0,5627000000.0,-1812000000.0,-6030000000.0,1087000000.0,-1712000000.0,-865000000.0,-865000000.0,23442000000.0,-358000000.0,-358000000.0,35063000000.0
2023-12-31,33450000000.0,-17748000000.0,-1178000000.0,939000000.0,-21919000000.0,1736000000.0,15473000000.0,31568000000.0,29665000000.0,105000000.0,1798000000.0,-34297000000.0,-34297000000.0,-1369000000.0,-14941000000.0,-14941000000.0,-17748000000.0,-17748000000.0,-239000000.0,-1163000000.0,-1163000000.0,0.0,924000000.0,-15000000.0,939000000.0,-19274000000.0,-19274000000.0,5640000000.0,-2995000000.0,-2995000000.0,0.0,0.0,-21919000000.0,-21919000000.0,55369000000.0,55369000000.0,509000000.0,,-4255000000.0,-426000000.0,-4727000000.0,-4727000000.0,-3472000000.0,4370000000.0,1897000000.0,-1501000000.0,634000000.0,634000000.0,20641000000.0,90000000.0,90000000.0,37354000000.0
2022-12-31,58390000000.0,-15155000000.0,-8080000000.0,860000000.0,-18407000000.0,1504000000.0,15364000000.0,29665000000.0,6802000000.0,-78000000.0,22941000000.0,-39114000000.0,-39114000000.0,-1800000000.0,-14939000000.0,-14939000000.0,-15155000000.0,-15155000000.0,-7220000000.0,-7852000000.0,-8075000000.0,223000000.0,632000000.0,-5000000.0,637000000.0,-14742000000.0,-14742000000.0,6755000000.0,-3090000000.0,-3090000000.0,0.0,0.0,-18407000000.0,-18407000000.0,76797000000.0,76797000000.0,-2446000000.0,-2446000000.0,-194000000.0,-688000000.0,18460000000.0,18460000000.0,-6947000000.0,-11019000000.0,-1025000000.0,-1932000000.0,3758000000.0,3758000000.0,24040000000.0,-2981000000.0,-2981000000.0,57577000000.0
2021-12-31,36053000000.0,-155000000.0,-32387000000.0,12733000000.0,-12076000000.0,,,6802000000.0,4364000000.0,-33000000.0,2471000000.0,-35423000000.0,-35423000000.0,-690000000.0,-14924000000.0,-14924000000.0,-155000000.0,-155000000.0,-19654000000.0,-19692000000.0,-32379000000.0,12687000000.0,38000000.0,-8000000.0,46000000.0,-10235000000.0,-10235000000.0,4658000000.0,-2817000000.0,-2817000000.0,,,-12076000000.0,-12076000000.0,48129000000.0,48129000000.0,-668000000.0,-668000000.0,4162000000.0,-71000000.0,16820000000.0,16820000000.0,-489000000.0,-12098000000.0,-677000000.0,50000000.0,303000000.0,303000000.0,20607000000.0,754000000.0,754000000.0,23598000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000000.0,999000000.0,,,,,,,,,,,,,,,,,,,,
