,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,-97784480.0,0.3308,21127600000.0,-295600000.0,-295600000.0,8135500000.0,4702000000.0,32502300000.0,20832000000.0,16130000000.0,-1801800000.0,3973900000.0,2339900000.0,8333315520.0,8135500000.0,40423900000.0,19300000.0,9106584937.0,9106584937.0,0.89,0.89,8110800000.0,0.0,8110800000.0,0.0,24700000.0,8135500000.0,0.0,8135500000.0,,,8135500000.0,4020600000.0,12156100000.0,56100000.0,48500000.0,-48800000.0,300000.0,,-1801800000.0,167800000.0,3973900000.0,2339900000.0,14197700000.0,7921600000.0,1366300000.0,4702000000.0,156500000.0,4545500000.0,280300000.0,280300000.0,19300000.0,22119300000.0,32502300000.0,54621600000.0,54621600000.0
2024-03-31,-209785270.0,0.1819,22712900000.0,-1153300000.0,-1153300000.0,10219500000.0,4651100000.0,42388800000.0,21559600000.0,16908500000.0,-4132100000.0,4416600000.0,360300000.0,11163014730.0,10219500000.0,49851200000.0,19500000.0,9345619927.0,9345619927.0,1.09,1.09,10192400000.0,0.0,10192400000.0,0.0,27100000.0,10219500000.0,0.0,10219500000.0,,,10219500000.0,2272400000.0,12491900000.0,47800000.0,-4490900000.0,2249100000.0,11900000.0,2229900000.0,-4132100000.0,75800000.0,4416600000.0,360300000.0,17729900000.0,7462400000.0,1295900000.0,4651100000.0,156500000.0,4494600000.0,186500000.0,186500000.0,19500000.0,25192300000.0,42388800000.0,67581100000.0,67581100000.0
2023-03-31,-149970000.0,0.3,12908100000.0,-499900000.0,-499900000.0,554200000.0,4642000000.0,43775600000.0,12408200000.0,7766200000.0,-5453400000.0,5512000000.0,143900000.0,904130000.0,554200000.0,49642200000.0,7100000.0,10658988827.0,10658988827.0,0.05,0.05,524700000.0,0.0,524700000.0,0.0,29500000.0,554200000.0,0.0,554200000.0,,,554200000.0,1700000000.0,2254200000.0,58000000.0,-69800000.0,28700000.0,41100000.0,,-5453400000.0,85300000.0,5512000000.0,143900000.0,8150300000.0,5866600000.0,-151400000.0,4642000000.0,156500000.0,4485500000.0,187800000.0,187800000.0,7100000.0,14016900000.0,43775600000.0,57792500000.0,57792500000.0
2022-03-31,0.0,0.3,13478500000.0,0.0,0.0,1074800000.0,4812800000.0,33061800000.0,13478500000.0,8665700000.0,-5561100000.0,5561100000.0,884100000.0,1074800000.0,1074800000.0,39930600000.0,6800000.0,6853458827.0,6853458827.0,0.098,0.098,1074800000.0,,1074800000.0,0.0,31800000.0,1074800000.0,0.0,1074800000.0,0.0,0.0,1074800000.0,2029800000.0,3104600000.0,2350800000.0,0.0,-107500000.0,68400000.0,,-5561100000.0,60900000.0,5561100000.0,884100000.0,6314900000.0,6868800000.0,939600000.0,4812800000.0,156500000.0,4812800000.0,126200000.0,126200000.0,6800000.0,13183700000.0,33061800000.0,46245500000.0,46245500000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111800000.0,509700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
