,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,497000000.0,913400000.0,1410400000.0,9784000000.0,18226000000.0,-8161000000.0,24711000000.0,504000000.0,-8161000000.0,6485000000.0,23961000000.0,6515000000.0,30000000.0,6485000000.0,-1433000000.0,-1433000000.0,71431000000.0,72907000000.0,6442000000.0,0.0,0.0,41566000000.0,22346000000.0,4553000000.0,,317000000.0,317000000.0,17476000000.0,17476000000.0,19220000000.0,6218000000.0,750000000.0,750000000.0,750000000.0,12252000000.0,10869000000.0,1383000000.0,,454000000.0,929000000.0,48081000000.0,28357000000.0,7350000000.0,1614000000.0,1614000000.0,1002000000.0,1607000000.0,1607000000.0,1607000000.0,14646000000.0,5453000000.0,9193000000.0,2138000000.0,-2393000000.0,4531000000.0,436000000.0,3285000000.0,101000000.0,709000000.0,0.0,19724000000.0,4813000000.0,2366000000.0,,3773000000.0,,3773000000.0,8772000000.0,330000000.0,8442000000.0
2023-12-31,475000000.0,934000000.0,1409000000.0,7093000000.0,15681000000.0,-4817000000.0,22610000000.0,2697000000.0,-4817000000.0,6929000000.0,21273000000.0,6997000000.0,68000000.0,6929000000.0,-1099000000.0,-1099000000.0,60429000000.0,62564000000.0,5893000000.0,0.0,0.0,35451000000.0,19187000000.0,4474000000.0,,369000000.0,369000000.0,14344000000.0,14344000000.0,16264000000.0,4853000000.0,1337000000.0,1337000000.0,,10074000000.0,8754000000.0,1320000000.0,,486000000.0,834000000.0,42448000000.0,23487000000.0,5813000000.0,1355000000.0,1355000000.0,783000000.0,1729000000.0,1729000000.0,1729000000.0,11746000000.0,4086000000.0,7660000000.0,2061000000.0,-2237000000.0,4298000000.0,398000000.0,3132000000.0,90000000.0,678000000.0,0.0,18961000000.0,3844000000.0,1877000000.0,,4060000000.0,,4060000000.0,9180000000.0,592000000.0,8588000000.0
2022-12-31,451000000.0,956000000.0,1407000000.0,7015000000.0,14023000000.0,-5083000000.0,20321000000.0,2435000000.0,-5083000000.0,6298000000.0,20047000000.0,6377000000.0,79000000.0,6298000000.0,-1253000000.0,-1253000000.0,51354000000.0,53607000000.0,5298000000.0,0.0,0.0,32347000000.0,18176000000.0,4034000000.0,,393000000.0,393000000.0,13749000000.0,13749000000.0,14171000000.0,4076000000.0,274000000.0,274000000.0,,9821000000.0,8616000000.0,1205000000.0,,279000000.0,926000000.0,38724000000.0,22118000000.0,5217000000.0,1151000000.0,1151000000.0,633000000.0,1730000000.0,1730000000.0,1730000000.0,11381000000.0,3859000000.0,7522000000.0,2006000000.0,-1904000000.0,3910000000.0,376000000.0,2786000000.0,96000000.0,652000000.0,0.0,16606000000.0,3616000000.0,2157000000.0,34000000.0,3425000000.0,,3425000000.0,7408000000.0,400000000.0,7008000000.0
2021-12-31,425000000.0,980000000.0,1405000000.0,6480000000.0,13901000000.0,-4021000000.0,21213000000.0,3787000000.0,-4021000000.0,7312000000.0,20421000000.0,7412000000.0,100000000.0,7312000000.0,-809000000.0,-809000000.0,42588000000.0,45648000000.0,5061000000.0,0.0,0.0,30257000000.0,17095000000.0,3591000000.0,29000000.0,395000000.0,395000000.0,13109000000.0,13109000000.0,13162000000.0,4150000000.0,792000000.0,792000000.0,792000000.0,8220000000.0,7145000000.0,1075000000.0,913000000.0,337000000.0,738000000.0,37669000000.0,20720000000.0,4515000000.0,486000000.0,486000000.0,645000000.0,1834000000.0,1834000000.0,1834000000.0,11333000000.0,3671000000.0,7662000000.0,1907000000.0,-1614000000.0,3521000000.0,371000000.0,2439000000.0,96000000.0,615000000.0,0.0,16949000000.0,3498000000.0,2459000000.0,92000000.0,3006000000.0,1319000000.0,3006000000.0,7894000000.0,473000000.0,7421000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,,,,,,,649000000.0,,,,1475000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,78000000.0,,1706000000.0,,,,
