,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Net Income From Continuing Operations
2025-03-31,-1560993000000.0,-10872262000000.0,13381581000000.0,-5257927000000.0,8982404000000.0,9412060000000.0,-134089000000.0,-295567000000.0,197236000000.0,197235000000.0,-76386000000.0,-1132329000000.0,-1132329000000.0,-1179043000000.0,2584994000000.0,75675000000.0,2509319000000.0,-10872262000000.0,13381581000000.0,-4189736000000.0,-4189737000000.0,-494550000000.0,-215979000000.0,3749571000000.0,-3965550000000.0,-354196000000.0,-354196000000.0,-3125011000000.0,1778720000000.0,-4903731000000.0,3696934000000.0,3696933000000.0,-2501315000000.0,2672724000000.0,-1609083000000.0,623295000000.0,-2815550000000.0,-987645000000.0,676465000000.0,-462114000000.0,362924000000.0,362924000000.0,-70654000000.0,-2334526000000.0,55139000000.0,-747741000000.0,1624835000000.0,1624835000000.0,2251233000000.0,2251233000000.0,-591219000000.0,-591219000000.0,4789755000000.0
2024-03-31,-842021000000.0,-8752329000000.0,12057349000000.0,-5048394000000.0,9412060000000.0,7516966000000.0,189914000000.0,1705180000000.0,2497558000000.0,2497558000000.0,-97936000000.0,-880197000000.0,-880197000000.0,-231069000000.0,3706760000000.0,401740000000.0,3305020000000.0,-8752329000000.0,12057349000000.0,-4998751000000.0,-4998751000000.0,-1392565000000.0,-721411000000.0,2251368000000.0,-2972779000000.0,-334287000000.0,-334287000000.0,-2550488000000.0,2163619000000.0,-4714107000000.0,4206373000000.0,4206374000000.0,-1124322000000.0,2292156000000.0,-1148392000000.0,587259000000.0,-3975836000000.0,-411358000000.0,666352000000.0,-326365000000.0,560737000000.0,560737000000.0,-207529000000.0,-4257673000000.0,-859239000000.0,-713507000000.0,1893665000000.0,1893665000000.0,2087066000000.0,2087066000000.0,-763137000000.0,-763137000000.0,5071421000000.0
2023-03-31,-750756000000.0,-8353033000000.0,9276918000000.0,-3705832000000.0,7516966000000.0,6113655000000.0,103305000000.0,1300006000000.0,-56180000000.0,-56181000000.0,-60675000000.0,-727980000000.0,-727980000000.0,-431099000000.0,1163574000000.0,239689000000.0,923885000000.0,-8353033000000.0,9276918000000.0,-1598890000000.0,-1598891000000.0,207830000000.0,183515000000.0,1333729000000.0,-1150214000000.0,-348280000000.0,-348280000000.0,-1641955000000.0,1715597000000.0,-3357552000000.0,2955076000000.0,2955075000000.0,-1297224000000.0,1516404000000.0,-593216000000.0,460351000000.0,-1502482000000.0,-76953000000.0,566879000000.0,-61538000000.0,712400000000.0,712400000000.0,-350550000000.0,-2292720000000.0,-532432000000.0,-694330000000.0,1175765000000.0,1175765000000.0,2039904000000.0,2039904000000.0,-643063000000.0,-643063000000.0,2492967000000.0
2022-03-31,-107629000000.0,-8843665000000.0,8122678000000.0,-3830244000000.0,6113655000000.0,5100857000000.0,334195000000.0,678603000000.0,-2466516000000.0,-2466516000000.0,-51723000000.0,-709872000000.0,-709872000000.0,-404718000000.0,-1300203000000.0,-579216000000.0,-720987000000.0,-8843665000000.0,8122678000000.0,-577496000000.0,-577494000000.0,1898141000000.0,-225274000000.0,2202637000000.0,-2427911000000.0,-346085000000.0,-346085000000.0,-1904278000000.0,1579881000000.0,-3484159000000.0,3722615000000.0,3722617000000.0,-809763000000.0,835739000000.0,-418043000000.0,347387000000.0,-1130667000000.0,-5478000000.0,470965000000.0,71314000000.0,152399000000.0,152399000000.0,-725285000000.0,-1094582000000.0,118652000000.0,-354104000000.0,1115918000000.0,1115918000000.0,1821880000000.0,1821880000000.0,-560346000000.0,-560346000000.0,2874614000000.0
