,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,0.0,0.355,44725000000.0,17661000000.0,16625000000.0,136488000000.0,44725000000.0,28100000000.0,-594000000.0,594000000.0,17661000000.0,17661000000.0,174497000000.0,1816602000.0,1809583000.0,9.72,9.76,17661000000.0,17661000000.0,17661000000.0,-88000000.0,17749000000.0,17749000000.0,9757000000.0,27506000000.0,9183000000.0,4587000000.0,4596000000.0,-594000000.0,594000000.0,18917000000.0,38009000000.0,28459000000.0,4716000000.0,4834000000.0,56926000000.0,136488000000.0,193414000000.0,193414000000.0
2023-12-31,0.0,0.276,45042000000.0,21369000000.0,14989000000.0,136522000000.0,45042000000.0,30053000000.0,-469000000.0,469000000.0,21369000000.0,21369000000.0,170684000000.0,1880307000.0,1872737000.0,11.36,11.41,21369000000.0,21369000000.0,21369000000.0,-42000000.0,21411000000.0,21411000000.0,8173000000.0,29584000000.0,3824000000.0,-1307000000.0,5131000000.0,-469000000.0,469000000.0,26229000000.0,34162000000.0,25801000000.0,4220000000.0,4141000000.0,60391000000.0,136522000000.0,196913000000.0,196913000000.0
2022-12-31,0.0,0.283,65485000000.0,35465000000.0,15295000000.0,161735000000.0,65485000000.0,50190000000.0,-516000000.0,516000000.0,35465000000.0,35465000000.0,195767000000.0,1940277000.0,1931486000.0,18.28,18.36,35465000000.0,35465000000.0,35465000000.0,-143000000.0,35608000000.0,35608000000.0,14066000000.0,49674000000.0,10240000000.0,1655000000.0,8585000000.0,-516000000.0,516000000.0,39950000000.0,34032000000.0,25688000000.0,4032000000.0,4312000000.0,73982000000.0,161735000000.0,235717000000.0,235717000000.0
2021-12-31,0.0,0.275,39364000000.0,15625000000.0,17013000000.0,110174000000.0,39364000000.0,22351000000.0,-712000000.0,712000000.0,15625000000.0,15625000000.0,139426000000.0,1920275000.0,1915989000.0,8.14,8.15,15625000000.0,15625000000.0,15625000000.0,-64000000.0,15689000000.0,15689000000.0,5950000000.0,21639000000.0,6171000000.0,514000000.0,5657000000.0,-712000000.0,712000000.0,16180000000.0,29252000000.0,21275000000.0,3963000000.0,4014000000.0,45432000000.0,110174000000.0,155606000000.0,155606000000.0
