,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Employee Benefits,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,712921000.0,2406922000.0,3119843000.0,12529000000.0,36634000000.0,-10328000000.0,108124000000.0,5572000000.0,-10328000000.0,71490000000.0,102141000000.0,71490000000.0,71490000000.0,-11741000000.0,-11741000000.0,75680000000.0,,155791000000.0,3120000000.0,3120000000.0,0.0,108614000000.0,58293000000.0,17549000000.0,,7255000000.0,390000000.0,2448000000.0,2448000000.0,30651000000.0,30651000000.0,50321000000.0,,5983000000.0,5983000000.0,4126000000.0,40212000000.0,26129000000.0,14083000000.0,3772000000.0,3772000000.0,10311000000.0,180104000000.0,124211000000.0,11414000000.0,10461000000.0,10461000000.0,81818000000.0,37618000000.0,44200000000.0,20518000000.0,-28250000000.0,48768000000.0,6289000000.0,29444000000.0,12317000000.0,718000000.0,0.0,55893000000.0,,,,12444000000.0,7292000000.0,2815000000.0,2337000000.0,18927000000.0,4085000000.0,14842000000.0,-167000000.0,15009000000.0,24522000000.0,417000000.0,24105000000.0,21187000000.0,2918000000.0
2023-12-31,712765000.0,2407078000.0,3119843000.0,7473000000.0,29332000000.0,-1959000000.0,98106000000.0,7213000000.0,-1959000000.0,68774000000.0,94655000000.0,68774000000.0,68774000000.0,-12527000000.0,-12527000000.0,75662000000.0,153843000000.0,153843000000.0,3120000000.0,3120000000.0,0.0,98784000000.0,52502000000.0,13398000000.0,0.0,7149000000.0,2881000000.0,3193000000.0,3193000000.0,25881000000.0,25881000000.0,46282000000.0,,3451000000.0,3451000000.0,3993000000.0,38838000000.0,26213000000.0,12625000000.0,2993000000.0,2993000000.0,9632000000.0,167558000000.0,114063000000.0,14153000000.0,9279000000.0,9279000000.0,70733000000.0,34175000000.0,36558000000.0,19898000000.0,-27878000000.0,47776000000.0,5627000000.0,28979000000.0,12375000000.0,795000000.0,0.0,53495000000.0,,0.0,,11181000000.0,6874000000.0,1952000000.0,2355000000.0,19387000000.0,4514000000.0,14873000000.0,-166000000.0,15039000000.0,22927000000.0,1068000000.0,21859000000.0,18519000000.0,3340000000.0
2022-12-31,506246000.0,2613597000.0,3119843000.0,26753000000.0,39642000000.0,2268000000.0,116446000000.0,-508000000.0,2268000000.0,76804000000.0,103690000000.0,76804000000.0,76804000000.0,-12967000000.0,-12967000000.0,41694000000.0,128345000000.0,128345000000.0,3120000000.0,3120000000.0,0.0,110574000000.0,54772000000.0,10146000000.0,2901000000.0,6542000000.0,4306000000.0,3991000000.0,3991000000.0,26886000000.0,26886000000.0,55802000000.0,3590000000.0,12756000000.0,12756000000.0,3049000000.0,36407000000.0,24298000000.0,12109000000.0,2220000000.0,2220000000.0,9889000000.0,187378000000.0,132084000000.0,30619000000.0,8947000000.0,8947000000.0,74536000000.0,38489000000.0,36047000000.0,17982000000.0,-25552000000.0,43534000000.0,4677000000.0,26603000000.0,11470000000.0,784000000.0,0.0,55294000000.0,,5830000000.0,,10268000000.0,6972000000.0,1577000000.0,1719000000.0,16915000000.0,2876000000.0,14039000000.0,-169000000.0,14208000000.0,22281000000.0,9392000000.0,12889000000.0,9198000000.0,3691000000.0
2021-12-31,490878000.0,2628965000.0,3119843000.0,19264000000.0,33751000000.0,-7615000000.0,107774000000.0,15753000000.0,-7615000000.0,74023000000.0,104008000000.0,74023000000.0,74023000000.0,-13058000000.0,-13058000000.0,39099000000.0,123060000000.0,123060000000.0,3120000000.0,3120000000.0,0.0,107995000000.0,62769000000.0,10686000000.0,,8898000000.0,5713000000.0,7487000000.0,7487000000.0,29985000000.0,29985000000.0,45226000000.0,,3766000000.0,3766000000.0,3586000000.0,37874000000.0,25707000000.0,12167000000.0,1112000000.0,1112000000.0,11055000000.0,182018000000.0,121039000000.0,10216000000.0,10223000000.0,10223000000.0,81638000000.0,46392000000.0,35246000000.0,18962000000.0,-28717000000.0,47679000000.0,4139000000.0,29774000000.0,12882000000.0,884000000.0,0.0,60979000000.0,3701000000.0,,3701000000.0,10387000000.0,6508000000.0,2287000000.0,1592000000.0,18984000000.0,3701000000.0,15283000000.0,-230000000.0,15513000000.0,31608000000.0,17121000000.0,14487000000.0,,
2020-12-31,,,,,,,,,,,,,,,,,113890000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132000000.0,0.0,3132000000.0,,,,,,,,,,,,,,
