,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue
2025-03-31,13474494.301085,0.331069,40700000.0,40700000.0,184802900000.0,9575100000.0,433060100000.0,807038400000.0,1240098500000.0,184775674494.3011,184802900000.0,11256600638.0,11256600638.0,16.42,16.42,184802900000.0,184802900000.0,184802900000.0,-723200000.0,185526100000.0,0.0,185526100000.0,86129100000.0,260154800000.0,40700000.0,-40700000.0,40508600000.0,325656700000.0,64267100000.0,9575100000.0,9575100000.0,3171100000.0,1242700000.0,1928400000.0,19011100000.0,14109400000.0,597605500000.0,597605500000.0
2024-03-31,23530201.730938,0.353306,66600000.0,66600000.0,91072000000.0,9056000000.0,405304200000.0,685341600000.0,1090645800000.0,91028930201.73094,91072000000.0,11011015558.0,11011015558.0,8.27,8.27,91072000000.0,91072000000.0,91072000000.0,-499500000.0,91571500000.0,0.0,91571500000.0,50028000000.0,141599500000.0,66600000.0,-66600000.0,6149100000.0,296071700000.0,67043600000.0,9056000000.0,9056000000.0,3083600000.0,944700000.0,2138900000.0,17001700000.0,13420500000.0,552605200000.0,552605200000.0
2023-03-31,8976265.026559,0.347917,25800000.0,25800000.0,33484500000.0,9048700000.0,350283000000.0,518169900000.0,868452900000.0,33467676265.026558,33484500000.0,11011015558.0,11011015558.0,3.04,3.04,33484500000.0,33484500000.0,33484500000.0,-103300000.0,33587800000.0,0.0,33587800000.0,17920800000.0,51508800000.0,25800000.0,-25800000.0,-10128900000.0,246182400000.0,55958400000.0,9048700000.0,9048700000.0,2846100000.0,994000000.0,1852100000.0,15528400000.0,13344100000.0,470921000000.0,470921000000.0
2022-03-31,27406036.770968,0.19032,144000000.0,144000000.0,38607400000.0,8961700000.0,294187500000.0,468230800000.0,762418300000.0,38490806036.770966,38607400000.0,10946723321.0,10946723321.0,3.53,3.53,38607400000.0,38607400000.0,38607400000.0,-468500000.0,39075900000.0,0.0,39075900000.0,9185000000.0,48260900000.0,144000000.0,-144000000.0,26693400000.0,211911800000.0,52493800000.0,8961700000.0,8961700000.0,2470400000.0,846800000.0,1623600000.0,15235900000.0,13015200000.0,411535100000.0,411535100000.0
